"node 1" "hybrid frequency"
3 46
13 31
11 42
6 35
4 40
3 37
7 34
11 44
8 50
8 42
1 17
2 39
3 37
11 32
0 40
13 33
0 41
8 518
4 32
10 39
3 45
3 44
0 44
7 37
4 32
2 34
8 44
4 41
7 37
1 14
8 46
7 47
13 28
7 37
0 36
11 53
10 29
0 45
3 38
8 41
12 35
12 44
6 34
5 46
6 32
4 47
3 47
3 51
7 45
8 46
4 46
10 45
8 30
0 49
12 47
8 43
0 43
7 26
10 31
2 52
13 34
9 37
11 40
12 40
1 12
0 41
8 44
3 49
5 44
7 41
8 40
1 9
14 40
7 48
10 39
0 44
10 39
9 29
8 43
12 42
6 43
6 26
13 31
12 29
1 16
10 37
11 32
5 37
10 34
0 37
3 39
14 50
10 44
14 50
3 43
2 35
0 54
8 39
5 40
2 40
11 49
