"node 1" "node 2" "hybrid frequency"
0 2 424
13 8 403
1 16 385
0 4 391
12 5 402
10 3 415
13 10 401
17 2 421
5 6 449
11 13 423
14 14 409
11 6 432
17 0 374
4 16 391
0 14 381
3 12 364
2 3 447
17 8 397
11 9 396
13 5 394
8 3 397
8 1 367
9 2 440
4 6 444
2 16 715
17 6 429
4 0 357
3 4 402
7 14 414
16 11 369
2 8 425
7 15 396
9 10 419
12 6 433
8 5 413
12 15 398
5 10 423
13 17 417
10 9 393
17 3 392
8 5 703
0 8 428
0 13 386
15 3 393
2 7 450
4 6 436
16 16 405
11 9 419
15 1 401
3 6 439
0 6 403
12 17 384
3 6 438
5 5 416
7 4 390
8 1 386
11 11 417
2 1 441
8 17 384
4 7 411
15 2 447
3 4 368
11 15 378
2 2 420
2 9 445
0 11 386
10 10 415
5 14 417
10 3 390
4 11 402
15 13 374
5 0 406
7 12 419
15 2 447
8 17 378
11 15 408
0 14 390
16 12 380
3 2 416
8 4 376
11 5 397
5 4 402
7 14 356
9 5 389
2 11 452
5 6 431
17 16 417
17 8 385
15 4 403
13 16 391
9 6 452
14 0 403
8 17 362
11 5 389
17 6 405
17 6 401
12 1 401
15 0 397
4 11 399
15 16 394
15 6 422
