"node 1" "node 2" "node 3" "node 4" "hybrid frequency"
21 20 19 17 45
15 5 0 3 455
20 22 4 22 567
21 9 3 16 651
17 7 4 2 442
20 15 3 2 585
0 10 12 11 582
18 17 21 11 225
1 10 0 6 568
6 7 13 4 550
13 3 13 17 558
7 8 5 13 436
9 17 5 21 237
13 4 14 8 640
18 0 8 15 643
22 6 5 12 471
16 12 8 0 639
13 13 17 18 477
3 2 19 5 537
15 8 5 17 443
7 20 18 8 600
17 10 2 19 448
0 1 13 1 399
9 22 5 9 484
13 3 22 20 578
12 16 9 7 434
13 2 0 8 632
8 20 20 10 746
12 10 18 16 648
19 22 10 20 409
10 13 22 1 435
3 10 6 20 564
2 16 4 15 656
13 21 12 8 545
6 20 11 18 792
20 15 8 22 575
18 21 10 16 654
19 17 12 8 538
15 11 15 11 618
20 18 7 7 581
20 22 14 10 585
1 20 22 5 581
12 10 8 2 426
19 6 6 9 538
2 9 8 16 450
2 10 6 9 453
3 1 19 20 185
4 2 10 18 582
0 16 20 0 590
12 22 18 2 579
18 16 17 4 566
18 8 0 6 596
22 1 2 8 626
18 11 1 0 559
16 12 4 11 468
2 6 12 21 657
11 17 13 19 444
15 14 19 20 183
3 20 16 14 590
20 12 1 15 586
3 16 4 12 590
11 6 18 21 646
7 0 22 6 631
0 12 19 22 529
4 16 1 17 630
21 22 4 20 794
1 16 21 21 775
14 20 21 12 572
9 17 11 0 420
5 19 13 2 302
2 0 4 3 452
0 16 14 18 592
22 0 6 1 439
21 20 3 17 667
7 14 18 5 447
22 3 11 16 468
1 5 14 15 443
20 7 8 12 578
4 9 2 14 559
18 0 4 13 461
10 15 3 22 643
22 3 19 10 344
9 19 8 6 482
1 15 22 20 773
17 9 12 6 457
4 17 13 3 465
16 20 16 5 779
3 9 3 8 474
6 12 4 3 589
11 17 11 15 450
15 19 4 0 504
3 12 16 13 426
2 16 18 8 556
19 7 1 17 531
5 7 13 18 660
1 12 9 16 565
22 7 0 16 445
15 16 11 8 570
12 8 7 2 480
8 2 17 8 578
7 18 13 14 659
