Net,inDegree,outDegree,inAct,inInh,outAct,outInh,Nodes,inCanStr,outCanStr,degDiff,Gs,GsDescret,Network,Hybridness,Number of Hybrid states,Common Hybrids,New Hybrids
wild,10,1,2,8,0,1,CDH1,-6,-1,9,0.546635638,0.5,Wild,,,,
wild,1,1,0,1,1,0,CLDN7,-1,1,0,0.546635638,0.5,Wild,,,,
wild,3,1,3,0,1,0,FOXC2,3,1,2,0.546635638,0.5,Wild,,,,
wild,2,3,1,1,2,1,GRHL2,0,1,-1,0.546635638,0.5,Wild,,,,
wild,1,5,1,0,5,0,GSC,1,5,-4,0.546635638,0.5,Wild,,,,
wild,1,1,0,1,0,1,KLF8,-1,-1,0,0.546635638,0.5,Wild,,,,
wild,2,4,0,2,0,4,miR101,-2,-4,-2,0.546635638,0.5,Wild,,,,
wild,1,3,0,1,0,3,miR141,-1,-3,-2,0.546635638,0.5,Wild,,,,
wild,2,3,0,2,0,3,miR200a,-2,-3,-1,0.546635638,0.5,Wild,,,,
wild,3,3,0,3,0,3,miR200b,-3,-3,0,0.546635638,0.5,Wild,,,,
wild,2,3,0,2,0,3,miR200c,-2,-3,-1,0.546635638,0.5,Wild,,,,
wild,1,2,1,0,0,2,miR205,1,-2,-1,0.546635638,0.5,Wild,,,,
wild,2,4,0,2,0,4,miR34a,-2,-4,-2,0.546635638,0.5,Wild,,,,
wild,2,3,1,1,3,0,NP63,0,3,-1,0.546635638,0.5,Wild,,,,
wild,3,6,1,2,1,5,OVOL2,-1,-4,-3,0.546635638,0.5,Wild,,,,
wild,7,9,4,3,5,4,SNAI1,1,1,-2,0.546635638,0.5,Wild,,,,
wild,9,5,6,3,2,3,SNAI2,3,-1,4,0.546635638,0.5,Wild,,,,
wild,1,1,1,0,0,1,TCF3,1,-1,0,0.546635638,0.5,Wild,,,,
wild,5,3,0,5,3,0,TGFbeta,-5,3,2,0.546635638,0.5,Wild,,,,
wild,3,7,3,0,6,1,TWIST1,3,5,-4,0.546635638,0.5,Wild,,,,
wild,2,6,1,1,5,1,TWIST2,0,4,-4,0.546635638,0.5,Wild,,,,
wild,15,10,6,9,1,9,ZEB1,-3,-8,5,0.546635638,0.5,Wild,,,,
wild,11,5,5,6,1,4,ZEB2,-1,-3,6,0.546635638,0.5,Wild,,,,
