Node,OutDeg,OutCan,InDeg,InCan,No_hybrids,hamming_distribution,Number_of_new_hyrbids,New Hybrids
FOXC2,1,1,3,3,2,"[6, 6]",0,[]
ZEB1,6,-4,12,0,8,"[7, 1, 1, 7, 6, 6, 6, 6]",6,"[array([-1., -1., -1., -1., -1., -1., -1., -1.,  1., -1.,  1.,  1.,  1.,
        1.]), array([ 1.,  1.,  1.,  1.,  1.,  1.,  1.,  1., -1.,  1., -1., -1., -1.,
       -1.]), array([-1.,  1., -1.,  1., -1., -1., -1.,  1.,  1.,  1., -1., -1., -1.,
        1.]), array([ 1., -1.,  1., -1.,  1.,  1.,  1., -1., -1., -1.,  1.,  1.,  1.,
       -1.]), array([-1.,  1., -1.,  1., -1., -1., -1.,  1.,  1., -1., -1.,  1., -1.,
        1.]), array([ 1., -1.,  1., -1.,  1.,  1.,  1., -1., -1.,  1.,  1., -1.,  1.,
       -1.])]"
ZEB2,4,-2,10,0,2,"[7, 7]",0,[]
SNAI1,8,2,7,1,12,"[7, 4, 5, 4, 5, 7, 6, 6, 7, 7, 7, 7]",12,"[array([-1., -1.,  1., -1.,  1.,  1.,  1., -1., -1.,  1., -1., -1.,  1.,
        1.]), array([-1., -1., -1., -1.,  1.,  1.,  1., -1., -1.,  1.,  1.,  1.,  1.,
        1.]), array([-1.,  1.,  1.,  1., -1., -1., -1.,  1.,  1., -1., -1., -1., -1.,
       -1.]), array([ 1.,  1.,  1.,  1., -1., -1., -1.,  1.,  1., -1., -1., -1., -1.,
       -1.]), array([ 1., -1., -1., -1.,  1.,  1.,  1., -1., -1.,  1.,  1.,  1.,  1.,
        1.]), array([ 1., -1.,  1., -1.,  1.,  1.,  1., -1., -1.,  1.,  1., -1.,  1.,
        1.]), array([ 1.,  1., -1.,  1., -1., -1., -1.,  1.,  1., -1., -1.,  1., -1.,
       -1.]), array([-1., -1.,  1., -1.,  1.,  1.,  1., -1., -1.,  1.,  1., -1.,  1.,
        1.]), array([ 1., -1.,  1.,  1., -1., -1.,  1.,  1.,  1.,  1., -1.,  1., -1.,
        1.]), array([-1.,  1., -1.,  1., -1., -1., -1.,  1.,  1., -1., -1.,  1., -1.,
       -1.]), array([ 1.,  1., -1.,  1., -1., -1., -1.,  1.,  1., -1.,  1.,  1., -1.,
       -1.]), array([-1.,  1., -1., -1.,  1.,  1., -1., -1., -1., -1.,  1., -1.,  1.,
       -1.])]"
TGFbeta,3,3,4,-4,21,"[6, 1, 6, 1, 7, 7, 7, 6, 7, 6, 7, 5, 7, 6, 6, 5, 6, 6, 7, 6, 7]",19,"[array([-1.,  1., -1., -1.,  1.,  1., -1., -1.,  1., -1., -1., -1., -1.,
       -1.]), array([-1., -1., -1., -1., -1., -1., -1.,  1.,  1.,  1.,  1.,  1.,  1.,
        1.]), array([-1.,  1.,  1., -1., -1., -1., -1.,  1.,  1., -1., -1., -1., -1.,
       -1.]), array([ 1.,  1.,  1.,  1.,  1.,  1.,  1., -1., -1., -1., -1., -1., -1.,
       -1.]), array([ 1., -1., -1.,  1.,  1.,  1.,  1.,  1., -1.,  1.,  1.,  1.,  1.,
        1.]), array([ 1., -1., -1.,  1.,  1., -1.,  1.,  1., -1.,  1.,  1.,  1.,  1.,
        1.]), array([ 1., -1.,  1.,  1., -1., -1.,  1.,  1., -1.,  1.,  1.,  1., -1.,
        1.]), array([-1.,  1.,  1., -1., -1.,  1., -1., -1.,  1., -1., -1., -1., -1.,
       -1.]), array([-1.,  1.,  1., -1., -1., -1., -1., -1.,  1., -1., -1., -1., -1.,
       -1.]), array([-1.,  1.,  1., -1.,  1.,  1., -1., -1.,  1., -1., -1., -1., -1.,
       -1.]), array([ 1., -1.,  1.,  1., -1., -1.,  1.,  1., -1.,  1., -1.,  1.,  1.,
        1.]), array([-1.,  1., -1., -1., -1.,  1., -1., -1.,  1., -1., -1.,  1., -1.,
       -1.]), array([ 1., -1.,  1.,  1., -1., -1.,  1.,  1., -1.,  1.,  1.,  1.,  1.,
        1.]), array([ 1., -1., -1.,  1., -1., -1.,  1.,  1., -1.,  1.,  1.,  1.,  1.,
        1.]), array([ 1., -1., -1.,  1.,  1.,  1.,  1., -1., -1.,  1.,  1.,  1.,  1.,
        1.]), array([ 1., -1.,  1.,  1.,  1., -1.,  1.,  1., -1.,  1.,  1., -1.,  1.,
        1.]), array([-1.,  1., -1., -1.,  1.,  1., -1., -1.,  1., -1., -1., -1.,  1.,
       -1.]), array([-1.,  1., -1., -1., -1., -1., -1.,  1.,  1., -1., -1.,  1., -1.,
       -1.]), array([-1.,  1., -1., -1.,  1.,  1., -1., -1.,  1., -1.,  1., -1., -1.,
       -1.])]"
SNAI2,4,0,6,4,6,"[6, 6, 6, 6, 7, 7]",4,"[array([-1., -1.,  1., -1.,  1., -1., -1.,  1.,  1.,  1., -1., -1., -1.,
        1.]), array([ 1.,  1., -1.,  1., -1.,  1.,  1., -1., -1., -1.,  1.,  1.,  1.,
       -1.]), array([ 1., -1.,  1.,  1., -1.,  1.,  1., -1., -1.,  1.,  1.,  1.,  1.,
       -1.]), array([-1.,  1., -1., -1.,  1., -1., -1.,  1.,  1., -1., -1., -1., -1.,
        1.])]"
TWIST2,5,5,2,0,2,"[6, 6]",0,[]
TWIST1,5,5,3,3,6,"[6, 5, 5, 6, 7, 7]",4,"[array([ 1.,  1.,  1., -1.,  1., -1., -1.,  1.,  1., -1., -1., -1., -1.,
        1.]), array([-1., -1., -1.,  1., -1.,  1.,  1., -1., -1.,  1.,  1.,  1.,  1.,
       -1.]), array([-1., -1.,  1.,  1., -1.,  1.,  1., -1., -1.,  1.,  1., -1.,  1.,
       -1.]), array([ 1.,  1., -1., -1.,  1., -1., -1.,  1.,  1., -1., -1.,  1., -1.,
        1.])]"
GSC,5,5,1,1,12,"[5, 3, 3, 4, 4, 7, 6, 6, 7, 7, 6, 5]",12,"[array([ 1., -1., -1.,  1., -1., -1., -1.,  1., -1.,  1.,  1.,  1.,  1.,
       -1.]), array([ 1.,  1.,  1.,  1.,  1., -1., -1., -1., -1., -1., -1., -1., -1.,
       -1.]), array([-1., -1., -1., -1., -1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,
        1.]), array([ 1., -1., -1., -1., -1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,
        1.]), array([-1.,  1.,  1.,  1.,  1., -1., -1., -1., -1., -1., -1., -1., -1.,
       -1.]), array([-1., -1.,  1., -1.,  1.,  1.,  1., -1.,  1.,  1., -1., -1., -1.,
        1.]), array([-1.,  1.,  1., -1.,  1., -1., -1., -1.,  1., -1., -1., -1., -1.,
       -1.]), array([ 1., -1., -1.,  1., -1.,  1.,  1.,  1., -1.,  1.,  1.,  1.,  1.,
        1.]), array([ 1.,  1., -1.,  1., -1., -1., -1.,  1., -1., -1.,  1.,  1.,  1.,
       -1.]), array([-1.,  1., -1.,  1.,  1., -1., -1., -1., -1., -1.,  1.,  1., -1.,
       -1.]), array([-1., -1.,  1., -1., -1.,  1.,  1.,  1.,  1.,  1.,  1., -1., -1.,
        1.]), array([-1.,  1.,  1., -1.,  1.,  1.,  1., -1.,  1., -1., -1., -1., -1.,
        1.])]"
miR101,3,-3,2,-2,2,"[6, 6]",0,[]
miR141,3,-3,1,-1,0,[],0,[]
miR200a,3,-3,2,-2,0,[],0,[]
miR200b,3,-3,3,-3,0,[],0,[]
miR200c,3,-3,2,-2,0,[],0,[]
miR34a,4,-4,2,-2,2,"[6, 6]",0,[]
