,GRHL2,SNAI2,miR101,CDH1,ZEB1,NP63,SNAI1,miR200a,miR205,miR9,miR141,miR200b,miR30c,miR200c,CLDN7,TWIST2,FOXC2,miR34a,KLF8,ZEB2,TGFbeta,VIM,TCF3,OVOL2,TWIST1,GSC
GRHL2,0.3750574238738634,-0.4880334202991117,-0.35510219721067143,0.31432530667390807,-0.35940551303403145,0.09704136475606895,-0.17731047877584477,0.8239593145972087,0.026625168600723635,0.0,0.2008496709838369,0.3318455905771989,0.0,0.8239593145972087,0.2008496709838369,0.8743282475187781,-0.6559981112833831,0.5416003508398984,0.3662004917186493,-0.34879618278979585,-0.3509381464459608,-0.27910759637915006,-0.1331067162517465,0.5449545455599075,-0.15368355158839253,-0.2698518471172714
SNAI2,0.5196570033477212,1.7508338441960825,-0.49641341272658424,-0.5962837700910112,2.1963973379411756,0.0,0.1895856534137983,-0.7297726097482385,0.0,0.0,-2.0964422427647635,-0.35441256411195904,0.0,-0.7297726097482385,-2.0964422427647635,0.714751000939105,-0.03345328546718618,-0.12003835484401659,0.323852546901366,0.5509011706566074,0.4423260226911815,0.549883550051002,16.08971508381361,-0.3065886689541538,16.387694321752036,0.3635121890307178
miR101,0.1816903343655125,-0.30085089566455714,-3.918352966769454,0.9735093822280753,0.052974535443601554,0.0,-0.2849077814354083,0.805886348750566,0.0,0.0,-0.20781647116354446,0.5942629423786895,0.0,0.805886348750566,-0.20781647116354446,-0.45202650365357544,-0.07756725485017177,0.7022886668143823,3.68543731939152,-0.4931744122634574,-0.39746867477789144,-0.49742040809692073,-0.46423349333541275,0.17153827123811047,-0.5104248681262593,-0.35251884488013524
CDH1,-0.5588558204081729,-1.7537902610307117,0.323852546901366,0.42144890341864144,-2.0964422427647635,0.0,-0.13128273354191303,0.6726858197290904,0.0,0.0,2.0161613524572632,0.1791967580221958,0.0,0.6726858197290904,2.0161613524572632,-0.5367536461561083,0.07054637004251994,0.07982456502764382,-0.24773997080800877,-0.4723948226859533,-0.3635121890307178,-0.37868751177727406,-15.822734582839987,0.2710887733659082,-16.08971508381361,-0.31157270512201296
ZEB1,-0.4342207421280089,0.7054867406342299,-0.30479903600530034,-0.3403103627894626,0.324426650313079,0.0,0.07253816852027194,-0.40598010376211013,0.0,0.0,-0.3512296738711127,-0.6041256446852639,0.0,-0.40598010376211013,-0.3512296738711127,0.2538233076647658,3.0443332148857736,-1.0998651616010544,0.2391350202171924,0.3291366307944233,0.5000703256651096,0.6577273280308111,0.277907081496242,-0.2963179671274115,0.31941475812121284,0.4243979325707274
NP63,0.23847439874352902,-0.023482856215679786,-0.17091120965009235,-0.18898883083748624,-0.21313035276558617,1.0434522829958084,0.6841015464032131,0.045211231362083305,1.2042183060292866,0.0,0.17087404010480628,-0.3801830732383478,0.0,0.045211231362083305,0.17087404010480628,1.125235979362144,0.32372147909874166,0.05375479886880313,0.11358083680126266,0.5773230602674182,-0.13794021509772086,-0.1285457311031462,0.008679475028971878,0.017332272650304865,0.033249700230775954,-0.11381589587556985
SNAI1,-0.29836294365832383,0.0962643343629073,-0.4816730706294737,-0.5664939837267965,0.6849195695714427,0.0,-0.08204746408774534,-0.33241310752972886,0.0,0.0,-0.5327295003002525,-0.1621222647932005,0.0,-0.33241310752972886,-0.5327295003002525,0.40175310023049704,0.4752200956609764,-0.9577237941393791,0.36176996551573065,1.6674648321254675,0.5305349485899129,-0.16143240360302016,0.40684914744040895,-0.16239272646762934,0.5066505958582523,0.44411550604063593
miR200a,0.38024183559732205,-0.37009053143139237,0.21937667091744834,0.6087916457488322,-0.6837807007416982,0.0,-0.42033272137597855,0.6302830367495983,0.0,0.0,0.5057908481686005,0.762787572565902,0.0,0.6302830367495983,0.5057908481686005,-0.24250611336341094,-0.341327154386925,0.6038184489305812,-0.17547964497865673,-0.5478529729272267,-0.12568059603927448,-0.6755936999603361,-0.6126070522807242,0.2926109523257618,-0.6547669898820937,0.013292551224630073
miR205,-0.41030087650380614,-0.057822506351279626,0.23963697850743598,0.45800867506899307,-0.4135284819344745,0.0,-0.29479472102771775,0.643571848109933,0.0,0.0,0.2431255444495422,0.13122931978058866,0.0,0.643571848109933,0.2431255444495422,-0.2916836418984067,-0.34244566206927424,-40.075824133127824,-0.21309409980621646,-0.8439973063484727,0.2204478665978842,0.06819980850569224,0.2366432405238615,1.2298657321872368,0.20627405289021045,0.26300585168875595
miR9,0.319093979486677,0.30567645418800776,0.2851026836178388,-0.1570427130174433,-0.2597674264369432,0.0,-2.9809209011668156,1.0002527204068357,0.0,0.0,0.2240604961839906,-0.20449854966159325,0.0,1.0002527204068357,0.2240604961839906,3.3582026058470382,-0.14380708238084672,0.006297159773823999,-0.28921822888599447,-0.4291967826577379,-1.0922656699206186,-0.3280567278371497,-0.14779486378213152,0.4351770949248538,-0.15245294710083526,-1.0377073472428018
