,GRHL2,HAS2,CDH1,ZEB1,MIR34,TGFB,EMT,MIR200,EXTGFB,ESRP1,VIM,SNAIL1,MIR1199,MIR129,CD44s,MIR190,MIR340,CD24,TWIST1,HA
GRHL2,0.7220972539192434,-0.7220972539192434,0.6389521947503677,-0.7836259163396255,0.6471764359252928,-0.6164823037743241,-0.5892912805907029,0.6471764359252928,0.0,0.7220972539192434,-0.6471764359252928,-0.3381847209004999,0.7220972539192434,0.33198721629111116,-0.653578735400725,0.7220972539192434,0.7220972539192434,0.753578735400725,-0.33198721629111116,-0.653578735400725
HAS2,-0.5478045763760049,0.5478045763760049,-0.4723495212038304,0.6137078842640455,-0.4766816982897984,0.4370720782485488,0.41498034591194966,-0.4766816982897984,0.0,-0.5478045763760049,0.4766816982897984,0.2934865900383142,-0.5478045763760049,-0.2843032967032967,0.47229437229437227,-0.5478045763760049,-0.5478045763760049,-0.47229437229437227,0.2843032967032967,0.5722943722943723
CDH1,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZEB1,-0.6737758536778095,0.6737758536778095,-0.5676155108837614,0.6263525590695284,-0.5766426343792712,0.5613314870057088,0.525655883647452,-0.5766426343792712,0.0,-0.6737758536778095,0.5766426343792712,0.344764708178131,-0.6737758536778095,-0.3469429079649869,0.6137078842640455,-0.6737758536778095,-0.6737758536778095,-0.6137078842640455,0.3469429079649869,0.6137078842640455
MIR34,0.32717262462445895,-0.32717262462445895,0.3169632371579711,-0.35167990825770656,0.29997047275083,-0.3206959871492953,-0.29043095607204183,0.29997047275083,0.0,0.32717262462445895,-0.29997047275083,-0.1656059610494856,0.32717262462445895,0.24115513237612776,-0.2983505694866143,0.32717262462445895,0.32717262462445895,0.2983505694866143,-0.24115513237612776,-0.2983505694866143
TGFB,-0.32717262462445895,0.32717262462445895,-0.3169632371579711,0.35167990825770656,-0.29997047275083,0.3206959871492953,0.29043095607204183,-0.29997047275083,0.0,-0.32717262462445895,0.29997047275083,0.1656059610494856,-0.32717262462445895,-0.24115513237612776,0.2983505694866143,-0.32717262462445895,-0.32717262462445895,-0.2983505694866143,0.24115513237612776,0.2983505694866143
EMT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIR200,0.5275980268875397,-0.5275980268875397,0.5294830553429672,-0.5750410648622232,0.5411547370490647,-0.6294817781786154,-0.4938331313554106,0.5411547370490647,0.0,0.5275980268875397,-0.5411547370490647,-0.29230393180201647,0.5275980268875397,0.311027477129172,-0.4762466755361883,0.5275980268875397,0.5275980268875397,0.4762466755361883,-0.311027477129172,-0.4762466755361883
EXTGFB,-0.32717262462445895,0.32717262462445895,-0.3169632371579711,0.35167990825770656,-0.29997047275083,0.3206959871492953,0.29043095607204183,-0.29997047275083,0.0,-0.32717262462445895,0.29997047275083,0.1656059610494856,-0.32717262462445895,-0.24115513237612776,0.2983505694866143,-0.32717262462445895,-0.32717262462445895,-0.2983505694866143,0.24115513237612776,0.2983505694866143
ESRP1,0.5478045763760049,-0.5478045763760049,0.4723495212038304,-0.6137078842640455,0.4766816982897984,-0.4370720782485488,-0.41498034591194966,0.4766816982897984,0.0,0.5478045763760049,-0.4766816982897984,-0.2934865900383142,0.5478045763760049,0.2843032967032967,-0.5722943722943723,0.5478045763760049,0.5478045763760049,0.47229437229437227,-0.2843032967032967,-0.47229437229437227
VIM,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SNAIL1,-0.35167990825770656,0.35167990825770656,-0.3359560741451645,0.37388087927433156,-0.3205255918919664,0.3442616580833873,0.3106932964241302,-0.3205255918919664,0.0,-0.35167990825770656,0.3205255918919664,0.07377680598913276,-0.35167990825770656,-0.25448553272808555,0.32717262462445895,-0.35167990825770656,-0.35167990825770656,-0.32717262462445895,0.25448553272808555,0.32717262462445895
MIR1199,0.6137078842640455,-0.6137078842640455,0.5225450883485501,-0.6737758536778095,0.52932967336768,-0.5036503275854189,-0.4743428957127465,0.52932967336768,0.0,0.6137078842640455,-0.52932967336768,-0.31997757478172606,0.6137078842640455,0.3179931362754892,-0.5478045763760049,0.6137078842640455,0.6137078842640455,0.5478045763760049,-0.3179931362754892,-0.5478045763760049
MIR129,0.5112168874172186,-0.5112168874172186,0.49266818955046,-0.5538398382368908,0.35381526503573746,-0.3640889974223308,-0.44199624161647666,0.35381526503573746,0.0,0.5112168874172186,-0.35381526503573746,-0.19271735065831255,0.5112168874172186,0.4143677705941857,-0.4633002207505519,0.5112168874172186,0.5112168874172186,0.4633002207505519,-0.38109276355445576,-0.4633002207505519
CD44s,-0.6137078842640455,0.6137078842640455,-0.5225450883485501,0.6737758536778095,-0.52932967336768,0.5036503275854189,0.4743428957127465,-0.52932967336768,0.0,-0.6137078842640455,0.52932967336768,0.31997757478172606,-0.6137078842640455,-0.3179931362754892,0.5478045763760049,-0.6137078842640455,-0.6137078842640455,-0.5478045763760049,0.3179931362754892,0.5478045763760049
