,GRHL2,EXTGFB,ESRP1,MIR1199,CDH1,HAS2,MIR34,ZEB1,CD44s,MIR190,MIR340,EMT,VIM,SNAIL1,CD24,TGFB,HA,MIR200
GRHL2,1.3620431735269558,0.0,1.3620431735269558,1.3620431735269558,0.30848479346476887,-1.3620431735269558,0.30848479346476887,-1.553329965831704,-1.2692858793980069,1.3620431735269558,1.3620431735269558,-0.4601129097846824,-0.30848479346476887,-0.1175384620668881,1.462061515371967,-0.16199565281320746,-1.2692858793980069,0.30848479346476887
EXTGFB,-0.35871355803281885,0.0,-0.35871355803281885,-0.35871355803281885,-0.19219850070531858,0.35871355803281885,-0.19219850070531858,0.4052323042737386,0.32009358569152824,-0.35871355803281885,-0.35871355803281885,0.13132954923695198,0.19219850070531858,-0.0037507915665863927,-0.32009358569152824,-0.4758902276306818,0.32009358569152824,-0.19219850070531858
ESRP1,0.17721019585183495,0.0,0.17721019585183495,0.17721019585183495,-0.644691523089062,-0.17721019585183495,-0.644691523089062,-0.2414806810153409,-0.3238213010445681,0.17721019585183495,0.17721019585183495,0.6593115141961374,0.644691523089062,-0.25529230395565017,0.13104566507060805,-0.1734319144831995,-0.13104566507060805,-0.644691523089062
MIR1199,0.2414806810153409,0.0,0.2414806810153409,0.2414806810153409,-0.5958118909110085,-0.2414806810153409,-0.5958118909110085,-0.3800923515471525,-0.17721019585183495,0.2414806810153409,0.2414806810153409,0.6644186133220065,0.5958118909110085,-0.28445081327872707,0.17721019585183495,-0.21446614167814815,-0.17721019585183495,-0.5958118909110085
CDH1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19277563597396005,0.0,0.0,0.0,0.0,0.0,0.0
HAS2,-0.17721019585183495,0.0,-0.17721019585183495,-0.17721019585183495,0.644691523089062,0.17721019585183495,0.644691523089062,0.2414806810153409,0.13104566507060805,-0.17721019585183495,-0.17721019585183495,-0.6593115141961374,-0.644691523089062,0.25529230395565017,-0.13104566507060805,0.1734319144831995,0.3238213010445681,0.644691523089062
MIR34,0.35871355803281885,0.0,0.35871355803281885,0.35871355803281885,0.19219850070531858,-0.35871355803281885,0.19219850070531858,-0.4052323042737386,-0.32009358569152824,0.35871355803281885,0.35871355803281885,-0.13132954923695198,-0.19219850070531858,0.0037507915665863927,0.32009358569152824,0.4758902276306818,-0.32009358569152824,0.19219850070531858
ZEB1,-0.3800923515471525,0.0,-0.3800923515471525,-0.3800923515471525,0.4735313684844734,0.3800923515471525,0.4735313684844734,0.25983072162214194,0.2414806810153409,-0.3800923515471525,-0.3800923515471525,-0.6152225207444181,-0.4735313684844734,0.33989097721175143,-0.2414806810153409,0.2782075935469973,0.2414806810153409,0.4735313684844734
CD44s,-0.2414806810153409,0.0,-0.2414806810153409,-0.2414806810153409,0.5958118909110085,0.2414806810153409,0.5958118909110085,0.3800923515471525,0.17721019585183495,-0.2414806810153409,-0.2414806810153409,-0.6644186133220065,-0.5958118909110085,0.28445081327872707,-0.17721019585183495,0.21446614167814815,0.17721019585183495,0.5958118909110085
MIR190,0.32009358569152824,0.0,0.32009358569152824,0.32009358569152824,0.14613204689677792,-0.32009358569152824,0.14613204689677792,-0.35871355803281885,-0.300216328595509,0.32009358569152824,0.32009358569152824,-0.10494872809209421,-0.14613204689677792,0.10085375628720714,0.300216328595509,0.3016227773096433,-0.300216328595509,0.14613204689677792
MIR340,0.2414806810153409,0.0,0.2414806810153409,0.2414806810153409,-0.5958118909110085,-0.2414806810153409,-0.5958118909110085,-0.3800923515471525,-0.17721019585183495,0.2414806810153409,0.2414806810153409,0.6644186133220065,0.5958118909110085,-0.28445081327872707,0.17721019585183495,-0.21446614167814815,-0.17721019585183495,-0.5958118909110085
EMT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19277563597396005,0.0,0.0,0.0,0.0,0.0,0.0
SNAIL1,-0.4052323042737386,0.0,-0.4052323042737386,-0.4052323042737386,-0.31080910368249415,0.4052323042737386,-0.31080910368249415,0.5286445801475329,0.35871355803281885,-0.4052323042737386,-0.4052323042737386,0.17675023238501428,0.31080910368249415,-0.2726952390836324,-0.35871355803281885,-0.4384584082822608,0.35871355803281885,-0.31080910368249415
CD24,0.2414806810153409,0.0,0.2414806810153409,0.2414806810153409,-0.5958118909110085,-0.2414806810153409,-0.5958118909110085,-0.3800923515471525,-0.17721019585183495,0.2414806810153409,0.2414806810153409,0.6644186133220065,0.5958118909110085,-0.28445081327872707,0.17721019585183495,-0.21446614167814815,-0.17721019585183495,-0.5958118909110085
TGFB,-0.35871355803281885,0.0,-0.35871355803281885,-0.35871355803281885,-0.19219850070531858,0.35871355803281885,-0.19219850070531858,0.4052323042737386,0.32009358569152824,-0.35871355803281885,-0.35871355803281885,0.13132954923695198,0.19219850070531858,-0.0037507915665863927,-0.32009358569152824,-0.4758902276306818,0.32009358569152824,-0.19219850070531858
HA,-0.2414806810153409,0.0,-0.2414806810153409,-0.2414806810153409,0.5958118909110085,0.2414806810153409,0.5958118909110085,0.3800923515471525,0.17721019585183495,-0.2414806810153409,-0.2414806810153409,-0.6644186133220065,-0.5958118909110085,0.28445081327872707,-0.17721019585183495,0.21446614167814815,0.17721019585183495,0.5958118909110085
MIR200,-0.2449105870669943,0.0,-0.2449105870669943,-0.2449105870669943,0.3309991941205506,0.2449105870669943,0.3309991941205506,0.11769900292147581,0.24501046470376192,-0.2449105870669943,-0.2449105870669943,0.6009897741203344,-0.3309991941205506,-0.3115434580820002,-0.24501046470376192,-0.5073166447226208,0.24501046470376192,0.3309991941205506
