,sufu,cd44,stat,liv1,ecal,emt,dsh,ilk,mir141,ecadherin,hey1,mir190,mir9,src,csl,tgf,smo,wnt,tgfbeta,erk,sosgrb2,notch,gsk3,esrp1,destcompl,klf4,vim,mir200a,cldn7,ovol2,akt,pi3k,jagged,foxc2,mir200b,grhl2,mir34a,gsc,mir200,cfos,vime,tgfr,mir200c,ras,mir1199,mir101,axin2,notchic,snail1,twist2,twist1,cateninmemb,mir205,csn,fus,mir34,pak1,zeb1,mir340,ha,delta,snai2,gli,ikk,cmet,mir30c,extgfb,loxl23,cd24,cateninnuc,tgfb,trcp,rkip,shh,has2,np63,tcflef,patched,smad,jak,cdc42,zeb2,raf,frizzled,mek,klf8,nfb,cd44s,snai1,tcf3,egr1,mir129,cdh1
sufu,0.16283828399337777,-0.3111017705318009,-0.24598902194995134,-0.24465868979266128,8.321244520226854,0.009848834335050636,0.12523452154663628,0.12763690827643873,-0.00185942115176656,0.5528939505854374,-0.6109724795166832,-0.00185942115176656,0.0,-0.2614980512671397,0.13749510947819496,-0.41590835746524646,-0.19995350134602397,0.04912577552103292,-0.9856891117613675,0.3719583893593355,-0.2554519381172509,0.11290993100007425,0.26176296789237524,-0.00185942115176656,-0.878447362771688,0.11290475146524635,-0.24509812681319562,1.3603907207588677,-0.00185942115176656,0.24140899024132584,-0.33544364761684936,-0.1933474540656268,0.34412701768709975,-0.29262773946649284,0.5782894355775405,0.5446392173388056,0.36159092024625356,-0.941713212097808,-0.01998705112070443,0.37936096908956435,-0.002176461647270571,-0.34536608980354083,1.3603907207588677,-0.22092265677833847,-0.00185942115176656,0.26086396312249194,-0.43789867860264625,0.1255133922763246,-0.2957315819956772,-0.4036557521932021,-0.20716283919527315,-0.8796607788399238,0.0,-0.295212463268719,-0.17831151883482227,8.321244520226854,-0.26599378641242977,0.04782359209858907,-0.00185942115176656,0.02635094339320045,-0.1933474540656268,-0.3898653025458342,-0.06918533977531177,-0.32487219172968507,-0.28466025718438287,0.0,0.0,0.0,0.5086270592650647,-0.4760115352817028,-0.29734090503439453,0.2847950509524782,-31.169825207227827,-0.2864920483201185,0.00185942115176656,0.0,-0.35910672875928346,0.22947967404089312,0.12240786091354684,0.0,-0.29322509618501325,-0.3197759541082144,-0.1933474540656268,0.09442330146397493,0.3573509211833029,-0.21593963777350014,-0.30838362337629305,0.02635094339320045,-0.5079118321901066,-0.17706597512463734,0.3706410126613828,-0.19748208808700157,-1.0120734438483474
cd44,0.004777958454855493,1.9600313019317013,1.9148242934127382,1.8586946242275446,-0.21107752061288101,-1.2110333292969948,0.43575443829192906,-17.123244086450324,-0.9395463278490629,-0.09826236805800942,-1.5497275308902652,-0.9395463278490629,0.0,1.9867140193644266,-0.11404354312695233,-0.04271550364554128,0.008387221010329559,0.4488657790536403,0.20826805271012958,0.12730757795539757,0.03859412210472074,-0.09344640617790188,2.071719465774084,-0.9395463278490629,0.10303924611048206,1.0745131415937001,0.058631917709431845,0.11026657791918403,-0.9395463278490629,-2.4879617250896713,0.1823960530989527,1.0643342367334716,-0.18734514439555303,0.04627133911407058,-0.14655009025414356,-0.2854348539294111,-0.031508921458871096,0.1835345151811716,-0.3873718111246591,0.10782053735436908,0.144839788745305,-0.05177866710334406,0.11026657791918403,1.0946186416564014,-0.9395463278490629,0.06893362166121106,1.0238625374271706,-0.10392688837473413,0.12743843234656027,0.1445027878563725,0.6700371027584275,0.0011901813878187509,0.0,0.1459158261053603,-0.0009311081862295512,-0.21107752061288101,-0.04835807284951845,0.9791711783001084,-0.9395463278490629,0.9069178779478838,1.0643342367334716,0.2318567076413052,0.4508843607079999,0.17109529953384872,2.11634385686738,0.0,0.0,0.0,-0.26935992855082197,2.042564104086629,0.008300577977168164,-0.14097189291421922,0.2688501858787456,-0.032634288885748826,0.9395463278490629,0.0,2.004327858497858,-0.01294651093152591,-17.57837792486045,0.0,-0.057872633988645734,-0.39354497316660486,1.0643342367334716,0.4425231692031687,0.1535017174028687,-0.0798207550525029,0.15832543324465148,0.9069178779478838,-0.07279929660747388,0.6493280266125321,0.09221963530786773,0.1628346412073397,-0.1228767899175416
stat,0.018603943017598462,-0.07996727420070958,-0.0894027475053309,0.09836200267681436,-0.11983093878288709,0.2983942494069316,0.003826511063423688,0.04759696513455697,-0.09705773952206534,0.07284278947665702,0.02475534785645274,-0.09705773952206534,0.0,-0.08683044147968817,0.2730323224141492,0.2690457171444688,-0.033174771052948485,-0.04446851051495968,0.27831700803764203,0.06900023500955922,0.1307277991212789,0.2958549137833432,-0.0015353332598012353,-0.09705773952206534,-0.02907363711373992,-0.7312051985838361,0.22424601515285544,-0.014300629515452948,-0.09705773952206534,-0.17452447896652878,-0.019699259547935357,0.020595573799328176,-1.2751808449686466,-0.4444600379062648,-0.09961963803706184,-0.030566147112048057,0.38493318120930525,0.2568246511819879,-0.5504488041479546,0.061100656595544735,-0.28507190927626924,0.23642095217508982,-0.014300629515452948,0.019892498564714173,-0.09705773952206534,-0.28350975535257594,-0.17461755331997392,0.2869585171962016,0.2460149780092288,0.17474161015433742,0.6103468407384806,0.05933667903808918,0.0,-0.02172506433138117,-0.03239509774589043,-0.11983093878288709,0.20211851265864683,0.12874664690867574,-0.09705773952206534,0.07262062151403068,0.020595573799328176,0.25081358195215203,0.021883811600086397,-0.01767225663795092,-0.08394518087736043,0.0,0.0,0.0,-0.009054926070786187,-0.0802378473791982,-0.12487057620484576,0.030360716963355194,4.80880125003081,-0.026743226592170783,0.09705773952206534,0.0,-0.083242559090888,0.03079786752074943,0.050550542404342175,0.0,0.2158188736750304,1.2655520714157404,0.020595573799328176,0.012008443173437742,0.08052963218962618,0.25372071286357006,-0.018641131405780133,0.07262062151403068,-0.4490058758512333,0.5810966111683853,0.04007979274609243,-0.03339459042795032,-0.01334305178143078
liv1,-0.31161696257922317,0.17675187701431713,0.13867477464625952,0.12199519512380966,-0.25730941305122307,0.3637597541566189,0.08860991359568603,-0.22661770557674796,0.5300220255356198,-0.2836378259777079,0.7459091147593058,0.5300220255356198,0.0,0.1455225105174139,-0.28949437568940667,0.5617761054228876,0.3298503377239136,0.11247308612931024,0.6181162157868447,-0.051948458667783345,0.2766419915052415,-0.2906675885874992,0.11119819871880238,0.5300220255356198,-0.09887321196868476,-0.11659741043878874,-0.5464038560738926,-0.2352841043892224,0.5300220255356198,-0.17939705774288708,0.19160167614751,0.03929530245932716,0.0007402306546174105,-0.08199375400145849,-0.5877412757628121,-0.7881542155337138,0.12092330004564883,0.5891518905450802,-0.038530906935836065,-0.14853684274879234,0.2627433240902008,0.5113923922284779,-0.2352841043892224,0.05202847544054034,0.5300220255356198,-0.24799118096850498,0.23110316231011704,-0.2895481660706925,-0.05551242151428397,-0.3952112547421971,0.7837348040844279,-0.08957966044344448,0.0,0.09672194990735615,0.3206286846089517,-0.25730941305122307,0.7861582023330743,-0.48122600208274946,0.5300220255356198,-0.5542628953916606,0.03929530245932716,-2.498345906370659,0.1344691643974002,0.18356900701896592,0.15993996895837304,0.0,0.0,0.0,-0.7440250858817999,0.2278808494871273,-0.15385186181554733,-0.07986493106588512,0.08968661168362028,0.3426358087149049,-0.5300220255356198,0.0,0.20127172420302905,-0.33741481146704405,-0.22405754717208134,0.0,0.4747307193307577,0.42748222337616804,0.03929530245932716,0.1015369244144883,-0.04037929853487617,0.19797349315092885,0.10341078600730376,-0.5542628953916606,0.1074306844769052,0.7326829178277005,-0.15131134050250533,-0.2845290142471782,0.045331982721321225
ecal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dsh,-0.06267801892732475,0.5610295332953112,0.5104437627960973,0.4970065659342139,0.104369050237168,-0.510951717812178,1.7501246749951431,-0.18924527433544286,-0.5374910987806738,-2.887763263790382,0.06329608202459153,-0.5374910987806738,0.0,0.5249252845481451,0.014163100079616724,0.05785914911063832,0.07970844392237036,1.8118140446089344,0.13706007267928058,10.369241433155144,0.2981605262555582,0.015395640550007372,-0.4140093028192818,-0.5374910987806738,-0.09551348348767305,-0.9233490997922429,-0.09738439844033943,0.03661626552458972,-0.5374910987806738,-0.007851346490877055,-0.30256565104394495,0.6458093186340492,-0.059387483672977616,0.22160985236914693,-0.7298403816777539,-0.21764893061085452,-1.1273049079988438,0.1208022224152377,-3.5134483633179503,10.110634428465916,-0.2831195254338863,0.03633229208715105,0.03661626552458972,0.6886431498374194,-0.5374910987806738,-0.30170882284276773,0.17361638939639398,0.025906334465071287,0.0072747884243667,-8.301511466862612,-0.8953406874728819,-0.07513910603274888,0.0,-0.3128286876413682,0.065656850328143,0.104369050237168,0.013996966152783234,0.5916043839990002,-0.5374910987806738,0.5021226448953665,0.6458093186340492,0.5256274065747234,1.8487245968078918,-0.30763406490173695,0.5477969030406941,0.0,0.0,0.0,-0.193963018833317,0.642256080005354,0.10087112847073358,0.31301724935436503,-0.10418844524959431,0.0861884113907244,0.5374910987806738,0.0,0.5972619253419997,-0.08310261044457475,-0.18183813418466693,0.0,0.025043109095623763,0.061123366512802695,0.6458093186340492,1.780214294684146,10.645246565571657,0.26952621455081466,-0.3103919546397212,0.5021226448953665,-0.11051000909860732,-0.8974206212616775,9.858916009237802,-0.17582740315363427,-0.2673860309966046
ilk,-0.2852291628476274,0.607271354395615,0.6052663728067468,0.5911275785890845,-0.1970418932012633,0.01140252214484598,-0.06432488640056219,0.5115006624500045,-0.4124021866355729,-0.254609219304111,0.21193432512321622,-0.4124021866355729,0.0,0.5857851066660775,-0.06320206200318391,0.25836641463079746,0.29705997168375853,-0.04814376574879556,4.205515808099206,0.25908557732733173,0.19136622296748307,-0.047300579966039376,-0.053345507763383156,-0.4124021866355729,0.0358626373798036,-0.1759166130049372,-0.1670643242163666,-1.6905285038032372,-0.4124021866355729,-0.13115134294491873,-0.21163966708094448,-0.060454575546873154,-0.2785889021355834,0.0073216554074825285,-0.2314822617035446,-0.4409927614099065,-0.13946029554577571,4.078378762179754,-0.20447227607199592,0.24273076769177704,0.1525378225589974,0.2417892243880323,-1.6905285038032372,-0.04005424251798836,-0.4124021866355729,-0.055644851447785235,-1.2953936212530626,-0.059052659821804084,-0.2816802633436545,0.22787802754264183,0.09074490797415802,-1.9634427747711507,0.0,-0.3507604061995586,0.288383352727567,-0.1970418932012633,0.21684134504747477,0.48906636751608107,-0.4124021866355729,0.3886520133011044,-0.060454575546873154,-0.107610349442243,-0.034337220865293935,-0.30387207610573974,0.5942697074285249,0.0,0.0,0.0,-0.4142458142111061,0.6704220958473814,0.894257354244857,0.3475055285879186,0.10588188664927849,0.3099813911301801,0.4124021866355729,0.0,0.635888286905018,-0.30158269815286026,0.5234299919410347,0.0,0.22423954190000983,0.9414608721348166,-0.060454575546873154,-0.05413150972289923,0.26912061065047166,0.033373341248948384,-0.3336809275640088,0.3886520133011044,0.13789095523454517,0.07624116032782657,0.2315997405118043,0.21319587008865207,0.139312868979101
mir141,0.017566309306738304,-0.2366442937408224,-0.17808501784290504,-0.16122741091651083,1.6066388013833648,-0.36680494993663143,0.007907821488644601,0.08690594958347661,0.377113080328252,0.5307560620581329,-0.23301532539329986,0.377113080328252,0.0,-0.19529910981362097,-1.7986463303815545,-0.28770693190962776,-0.014721184700454823,-0.01695455677458593,-0.6812495444097558,-0.2091183255736583,-0.31799466514606173,-1.8789056308122059,4.531628609908721,0.377113080328252,-0.22651732367663363,0.4101024749969898,-0.37648812044718044,0.3839150924447311,0.377113080328252,0.40574569509557706,0.16913953634494874,-0.1508494036133188,-2.563611717111718,-0.27363702907753995,0.47256314619688317,0.012292968102470641,0.48454685221259336,-0.5362964986299651,0.2059420440873182,-0.18780211937895014,-0.3337279375671921,-0.2499211107121418,0.3839150924447311,-0.16739005498829168,0.377113080328252,-1.2282300830188322,-0.02608885599295679,-1.845359753320961,-0.2405535101160056,-0.3374941369586514,-0.11686824871586557,0.4097266156465557,0.0,0.28668790083125606,-0.016777665875200957,1.6066388013833648,-0.19663136019451263,-0.5483260106451192,0.377113080328252,-0.2888619808176318,-0.1508494036133188,-0.13622172194341778,-0.04149244643632635,0.1669674818822322,-0.21242335140760643,0.0,0.0,0.0,-0.06455310777564087,-0.3851186797415231,-0.23798320537134454,-0.28441099093515027,0.4827118998396333,-0.020552245740292296,-0.377113080328252,0.0,-0.3395005092303802,0.01834318563498204,0.08437268251541694,0.0,-0.2218968343942816,-0.47900592439689293,-0.1508494036133188,-0.00281530009129372,-0.22991155735671637,1.2442888046162766,0.16150560204809547,-0.2888619808176318,-0.178648914785661,-0.0823303345308723,-0.17312343421878076,-1.1589985324327545,0.33779698561532556
ecadherin,-3.4147779227806025,-0.17822355480778387,-0.10368278589251606,-0.09289427914275526,0.31188835304408863,-1.0795402672810068,-0.10093283089855122,-1.0371466195564962,0.36496283082946906,-1.0304408921742172,0.23964276301027015,0.36496283082946906,0.0,-0.11958809902518333,-0.06345496799320817,-0.5382771907224807,3.6226731208641367,-0.13822984366641097,0.7679158218728179,-0.008207312787721893,-2.3300779044501243,-0.0981943034570501,-0.21069727521880957,0.36496283082946906,0.3060666224093763,-0.3434912553205502,-1.8874473251429296,0.8856600504352433,0.36496283082946906,0.6090389807380712,52.095120837779334,0.7479853382587234,-0.22000320761678144,0.04752832103334385,-0.4319520909248769,2.6887539167110743,-0.2812091143836372,0.7840109465946207,0.004822905184330396,0.002680101694403396,-0.22926267057778815,-0.5123258735350125,0.8856600504352433,0.7224439405504992,0.36496283082946906,0.30857619149390664,-0.308636898594052,-0.07930107876342603,8.325006446213346,-0.2175582424507879,0.5848706849193447,0.8226219141146573,0.0,47.998784581845065,3.5264744468449187,0.31188835304408863,-0.4782493784384097,-0.3963780048093906,0.36496283082946906,-0.33650852364599754,0.7479853382587234,-0.4935997472280306,-0.17047361071409142,50.65743915100441,-0.143413629415485,0.0,0.0,0.0,2.63348397104068,-0.3882324383652877,-0.0908452583178225,-46.76963626906756,0.32331972125932684,3.818168569228511,-0.36496283082946906,0.0,-0.23952617956558328,-3.715100346681068,-1.0520770079829551,0.0,-0.4938540312355234,0.044786170361735225,0.7479853382587234,-0.1152662049451889,-0.02392816138677116,-0.2626156960918846,49.29317185771791,-0.33650852364599754,-0.17575882024489456,0.6127517425537244,0.014372683549474886,-0.03366442395863546,0.5683372908379609
hey1,3.3271843559229946,0.143413629415485,0.09289427914275526,0.08150592591929333,-0.25731213233398975,1.029569284766803,0.08769840661532516,1.0207094882112928,-0.33650852364599754,0.9027844574419106,-0.23106233653056377,-0.33650852364599754,0.0,0.10368278589251606,0.05359378018171297,0.5123258735350125,-3.5264744468449187,0.1152662049451889,-0.7840109465946207,-0.002680101694403396,2.2859587397912584,0.07930107876342603,0.2432680472999017,-0.33650852364599754,-0.3535601518737311,0.3375560704724235,1.8222479986528763,-0.8566778895151702,-0.33650852364599754,-0.5782322401763995,-50.65743915100441,-0.7616534856993041,0.16171445915173557,-0.0702288723982411,0.4650925759185729,-2.63348397104068,0.28045497261636226,-0.7947607064239918,0.01176922037538997,-0.014372683549474886,0.2066494221145346,0.4938540312355234,-0.8566778895151702,-0.7479853382587234,-0.33650852364599754,-0.2626156960918846,0.2584864084809384,0.06345496799320817,-8.254129381866607,0.17076713172194774,-0.6127517425537244,-0.6495492104508146,0.0,-46.76963626906756,-3.4147779227806025,-0.25731213233398975,0.46298673575397453,0.36496283082946906,-0.33650852364599754,0.31392635304695077,-0.7616534856993041,0.42209510399660743,0.13822984366641097,-49.29317185771791,0.11958809902518333,0.0,0.0,0.0,-2.591308242247908,0.23952617956558328,0.07781703708685225,45.60086546400671,-0.3015085567772217,-3.715100346681068,0.33650852364599754,0.0,0.17822355480778387,3.6226731208641367,1.0371466195564962,0.0,0.4782493784384097,-0.06466263972809375,-0.7616534856993041,0.10093283089855122,0.008207312787721893,0.22964352728666493,-47.998784581845065,0.31392635304695077,0.14955944842240237,-0.631503438053859,-0.02004750960184376,0.05251125041473636,-0.5047129946573305
mir190,0.3209379784839603,-0.23985274666858936,-0.2041742729783658,-0.19239735074782083,0.21459067422468184,-0.10216714006138955,-0.11277020144812228,-0.3410319817748393,0.07947993098477234,-1.3986157717988836,-0.09777173690054665,0.07947993098477234,0.0,-0.2117444899675094,0.18969450808804142,-0.1355843492841008,-0.3430974108985207,-0.1314564010295425,-0.5632214580513223,0.004077276135381673,-0.6276959904035206,0.1897482565007931,-0.6191117045378023,0.07947993098477234,-0.2972213715198903,0.19584480087747333,-0.11299949234805562,0.7692854669677313,0.07947993098477234,0.11973874759286847,-0.03405141744922866,-0.15929819364611836,-0.5271288097909481,0.14357205332116094,0.26577395819727195,0.141368007451963,0.20935152153377262,-0.5335069330437814,0.2941115559064781,0.009341732680454896,-0.15528665259722968,-0.11523231804082293,0.7692854669677313,-0.17044813576918108,0.07947993098477234,0.2248520753648131,-0.17609513230339255,0.19305062498323364,-0.008162702374466915,0.01679200424123436,0.03310277013017111,0.2785841247787747,0.0,-0.02443825236102184,-0.3294638412896606,0.21459067422468184,-0.0895211321945372,-0.11245424155003311,0.07947993098477234,-0.05169442498258991,-0.15929819364611836,-0.04967496840919119,-0.14343242743540224,-0.031939845122772835,-0.22273089351406106,0.0,0.0,0.0,0.11872400293387964,-0.2922029678347471,-0.46441250079782836,0.02337446785746027,0.35177647862960437,-0.36787281064861654,-0.07947993098477234,0.0,-0.28218748969055113,0.3544371868710281,-0.352818978963832,0.0,-0.10144316882060883,-0.6576448667958861,-0.15929819364611836,-0.12010434680872771,-0.005975904212369431,-0.20648830554631226,-0.02972646619750723,-0.05169442498258991,-0.05803367322999767,0.05769294936063836,0.012633692652512168,0.7079494111954872,0.27870690773565576
