,sufu,cd44,stat,liv1,ecal,emt,dsh,ilk,mir141,ecadherin,hey1,mir190,mir9,src,csl,tgf,smo,wnt,tgfbeta,erk,sosgrb2,notch,gsk3,esrp1,destcompl,klf4,vim,mir200a,cldn7,ovol2,akt,pi3k,jagged,foxc2,mir200b,grhl2,mir34a,gsc,mir200,cfos,vime,tgfr,mir200c,ras,mir1199,mir101,axin2,notchic,snail1,twist2,twist1,cateninmemb,mir205,csn,fus,mir34,pak1,zeb1,mir340,ha,delta,snai2,gli,ikk,cmet,mir30c,extgfb,loxl23,cd24,cateninnuc,tgfb,trcp,rkip,shh,has2,np63,tcflef,patched,smad,jak,cdc42,zeb2,raf,frizzled,mek,klf8,nfb,cd44s,snai1,tcf3,egr1,mir129,cdh1
sufu,0.23333333333333334,-0.29561233201145626,-0.15,-0.1,0.4382575435587964,-0.43662691210237475,-0.25,-0.09153110818429096,0.4569457800685818,0.4773822265419164,-0.09261632403520706,0.4569457800685818,0.0,-0.19117647058823528,-0.2574712643678161,-0.4899718776688771,-0.2615283267457181,-0.3475694444444445,-0.4772257555724586,-0.2950296397628819,-0.3170856102003643,-0.2991302614179636,0.3702829868917593,0.4569457800685818,-0.38550045407278277,0.45412588085535033,-0.48678475994376313,0.45594521456158077,0.4569457800685818,0.3590072689294843,-0.20513089636868137,-0.38429609760318423,-0.19506569548194586,-0.3846255103338285,0.5430935759310247,0.4395159357519285,0.4079170365373301,-0.41678801972340207,0.455335814207131,-0.23921568627450976,-0.43330537013020365,-0.45019157166652324,0.45594521456158077,-0.42552058739910253,0.4569457800685818,0.41309443963183057,-0.4188430583501006,-0.2790712643678161,-0.2800341807137433,-0.5075668780444751,-0.36090504915511873,0.4610858838466102,0.0,-0.15,-0.24637681159420294,0.4382575435587964,-0.36515151515151517,-0.5131915684782853,0.4569457800685818,-0.39521246110771086,-0.38429609760318423,-0.5659693927396868,-0.3990619817578773,-0.1885185185185185,-0.2443014705882353,0.0,0.0,0.0,0.3828298029200964,-0.39709946091965825,-0.418035522777868,0.1,0.21814568216539118,-0.29350218253513727,-0.4569457800685818,0.0,-0.34778281346370565,0.277776232943373,-0.10555077348350303,0.0,-0.41142017186793306,-0.5119130568132723,-0.38429609760318423,-0.29444444444444445,-0.3195221972730307,-0.362553655494832,-0.16999999999999998,-0.39521246110771086,-0.24236181589697217,-0.3122715366103158,-0.2333333333333333,0.3586744470680104,0.49644768464213207
cd44,0.0,-0.05,0.1,0.1,-0.25413533834586466,0.2516918271733472,0.0,0.162,-0.25793650793650796,-0.1879569892473118,0.17866666666666667,-0.25793650793650796,0.0,0.1,0.2,0.24793103448275863,0.1,-0.1,0.27904761904761904,0.3111111111111111,-0.046666666666666676,0.24285714285714283,-0.1904761904761905,-0.25793650793650796,-0.19949494949494948,-0.15446808510638296,0.3111865316766375,-0.2563636363636364,-0.25793650793650796,-0.2242375601926164,0.26666666666666666,0.16666666666666669,0.1372413793103448,0.2513793103448276,-0.3487477954144621,-0.25564102564102564,-0.27998230088495574,0.2,-0.29714285714285715,0.3,0.25555555555555554,0.21000000000000002,-0.2563636363636364,0.16666666666666669,-0.25793650793650796,-0.2749812734082397,-0.08,0.2,0.197601323407775,0.33353705118411,0.261025641025641,-0.056630036630036615,0.0,0.1,0.1,-0.25413533834586466,0.1,0.3274796551446298,-0.25793650793650796,0.18333333333333335,0.16666666666666669,0.3993212669683258,-0.05,0.2,0.0,0.0,0.0,0.0,-0.18333333333333335,0.07360999194198228,0.24847775175644032,-0.1,-0.34016194331983807,0.1576923076923077,0.25793650793650796,0.0,0.01470588235294118,-0.15,0.17504347826086958,0.0,0.15,0.3228504380475594,0.16666666666666669,0.0,0.3666666666666667,0.22666666666666666,0.2,0.18333333333333335,0.25857212780289707,0.22000000000000003,0.2,-0.22424242424242422,-0.3178247261345853
stat,0.0,0.015449401237004862,-0.1,0.0,-0.38955781729639777,0.3734117286554907,-0.1,0.06387454875604974,-0.4036002941146508,-0.2686918192575485,0.0637941884663552,-0.4036002941146508,0.0,-0.06666666666666668,-0.020833333333333332,0.2763793521700139,0.027718550106609806,-0.025490196078431383,0.3297160346645325,0.12444444444444444,0.13963133640552997,0.01058181640242709,0.03915427246928071,-0.4036002941146508,-0.0230530049495088,-0.2899723187067499,0.4154512996493203,-0.39796921241752203,-0.4036002941146508,-0.314540546518127,0.04097821761622173,-0.0586864406779661,0.0345009200181614,0.2921229731869523,-0.376587569609914,-0.38720043683200017,-0.3670716525190609,0.27909521327007214,-0.4074422332592421,0.07777777777777778,0.3861941604347344,0.2430675172780436,-0.39796921241752203,-0.026655190677966102,-0.4036002941146508,-0.31220397568565195,-0.04239687848383499,-0.005448717948717946,0.25084987534604275,0.3292607668323698,0.20723187505799556,-0.107793102795871,0.0,0.0,0.014285714285714285,-0.38955781729639777,0.1766666666666667,0.45040098221125413,-0.4036002941146508,0.3526768112650466,-0.0586864406779661,0.3687063181574281,0.015449401237004862,0.027329192546583846,-0.025490196078431383,0.0,0.0,0.0,-0.34051441844786856,0.09979383519320459,0.3789615411942007,0.0,-0.1882973308589298,0.05570840629561854,0.4036002941146508,0.0,0.058659277780214736,-0.04192309556115527,0.07583770608709825,0.0,0.2117543859649123,0.4373165350490214,-0.0586864406779661,-0.06666666666666668,0.14130356684629203,0.27013960276667304,0.014285714285714285,0.3526768112650466,0.20442917359499715,0.16642372070779532,0.1,-0.2889078043296846,-0.42214434971790843
liv1,-0.023076923076923078,0.3238095238095238,0.16666666666666666,0.1,-0.44388353191087215,0.4419703499083397,0.16666666666666666,0.07756228534625613,-0.463573264284331,-0.47609512900958195,0.07757036723776554,-0.463573264284331,0.0,0.22380952380952382,0.04911937377690802,0.3371318268521588,0.05318444995864351,0.27380952380952384,0.39204049773204086,0.1638163558106169,0.20803766541465807,0.08459041287654905,-0.2626726790733611,-0.463573264284331,0.35559799871126596,-0.4545982318511285,0.4817175418406917,-0.4597493741986517,-0.463573264284331,-0.35438994754368985,0.06933429783054493,0.2447004608294931,0.09604000568140723,0.347957102926758,-0.45219883581270165,-0.4419541289023724,-0.4188466198037289,0.3405679943620758,-0.4627173860952549,0.14332855093256813,0.4380331004913011,0.3050156442795447,-0.4597493741986517,0.290171810182543,-0.463573264284331,-0.3928530062184089,0.33393956367894617,0.0673011919587262,0.29083106979981127,0.41816942994123013,0.2825152901798764,-0.4383049966290787,0.0,0.023076923076923078,0.03822843822843823,-0.44388353191087215,0.23255574614065183,0.5110349151243602,-0.463573264284331,0.41347115636144843,0.2447004608294931,0.4752189603800191,0.32366203118415504,0.05452373525878832,0.27380952380952384,0.0,0.0,0.0,-0.3960789347845389,0.4136538327988693,0.43247589860429037,0.0,-0.22967965543838184,0.08103115723404615,0.463573264284331,0.0,0.36972582972582974,-0.0676688068531974,0.08970103818216564,0.0,0.2683713489775313,0.5033547405770674,0.2447004608294931,0.22380952380952382,0.20241366189515012,0.3548482294408965,0.03949483352468427,0.41347115636144843,0.25116938581776294,0.24876600733420803,0.08235294117647059,-0.3429928016363729,-0.48929898658549326
ecal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dsh,0.0,0.32041784115403743,0.2,0.1,-0.3831781816062055,0.3754943055603156,0.2,0.0624291566580862,-0.39620791244211695,-0.41074565430101223,0.06363822197901407,-0.39620791244211695,0.0,0.24,0.12941176470588237,0.2695149882311606,0.045714285714285714,0.2805405405405405,0.328411386666316,0.08471562538058702,0.15552016985138004,0.1678318521653266,-0.1000901378579003,-0.39620791244211695,0.028286270625728506,-0.38383203545010885,0.4169519232209463,-0.39105327025931147,-0.39620791244211695,-0.3101712927928917,0.12035087719298246,0.14300347539784158,0.11416902896001509,0.2744711897182769,-0.3868105388271543,-0.38062790812798397,-0.3492742603471538,0.27867962088615383,-0.39294206026208195,0.02981366459627329,0.3802026177212944,0.23614097968936681,-0.39105327025931147,0.17679187130227844,-0.39620791244211695,-0.3269924785564632,0.33869122426868903,0.15176470588235297,0.24713425447137047,0.3582662285979342,0.22290906979724762,-0.3666850138365771,0.0,0.06666666666666668,0.02857142857142857,-0.3831781816062055,0.15925925925925927,0.4425184514606205,-0.39620791244211695,0.3454608921298793,0.14300347539784158,0.4174126278554676,0.32041784115403743,0.10666666666666666,0.2805405405405405,0.0,0.0,0.0,-0.3340557312677159,0.4056305698980281,0.3688202087030365,-0.1,-0.16213504187018976,0.0716748791527656,0.39620791244211695,0.0,0.364223715994395,-0.058757763975155274,0.07418606498887034,0.0,0.20280764635603346,0.43096426275786576,0.14300347539784158,0.24,0.10505460843143448,0.2848613884758463,0.08666666666666667,0.3454608921298793,0.17335117177733098,0.18232459806977053,0.04285714285714286,-0.29543806219889773,-0.42476154491270046
ilk,0.0,0.294291754756871,0.1,0.0,-0.3468165123306569,0.34914290390094604,0.1,0.05031410256410257,-0.36001200217151,-0.3903572040996457,0.05140182186234817,-0.36001200217151,0.0,0.2,0.1,0.28949637468155986,0.025,0.24545454545454545,0.2908129929267811,0.05,0.1564857881136951,0.15473118279569892,-0.15740740740740738,-0.36001200217151,-0.02299222753962598,-0.349347442680776,0.3940123830561045,-0.3555066732575383,-0.36001200217151,-0.2879519963074083,0.21084010840108403,0.14076190476190478,0.10001519987840098,0.2928042927847311,-0.3529505473635678,-0.34840217317945604,-0.3166965974577796,0.23239114163694802,-0.3595622473488392,0.05,0.3458257279814401,0.25396825396825395,-0.3555066732575383,0.18076190476190476,-0.36001200217151,-0.3013027457771699,0.3080200501253133,0.13,0.21937748197836235,0.33161880015716194,0.19431950553472652,-0.34016718043203537,0.0,0.2,0.0,-0.3468165123306569,0.17619047619047618,0.4142127022881962,-0.36001200217151,0.3034552845528455,0.14076190476190478,0.3963404261979198,0.294291754756871,0.18888888888888888,0.24545454545454545,0.0,0.0,0.0,-0.2962121212121212,0.3865769388847614,0.3365488271040422,-0.2,-0.14273228170274654,0.058297849691292314,0.36001200217151,0.0,0.3394530450794517,-0.04448051948051948,0.06368619558735839,0.0,0.20952380952380953,0.404866542751083,0.14076190476190478,0.2,0.10555555555555556,0.26131896637733215,0.16666666666666669,0.3034552845528455,0.16923798855213235,0.16141732283464566,0.0,-0.28305891841576825,-0.40058051093704583
mir141,0.017241379310344827,-0.42461177279830126,-0.2,-0.1,0.66508486984281,-0.5792897572801932,-0.2,-0.09631994617230268,0.6973197322435739,0.632455488862732,-0.09624917070680054,0.6973197322435739,0.0,-0.28095238095238095,-0.04708333333333333,-0.4019885501322749,-0.06050463779099462,-0.35495238095238096,-0.6843904331251182,-0.2762887706283933,-0.26045779801593755,-0.09517883265581703,0.27296080455122373,0.6973197322435739,-0.4687783535241484,0.7031651096600269,-0.6358055310890783,0.699541547584612,0.6973197322435739,0.4748507735548704,-0.08125555834353526,-0.3173258003766478,-0.11394501042009982,-0.42164737984119904,0.6888636290418846,0.6539507961570623,0.6211835486494917,-0.6138206481119751,0.644424849378601,-0.22592592592592595,-0.6444678315937296,-0.35684352200339353,0.699541547584612,-0.3803939821948296,0.6973197322435739,0.47607873936405154,-0.42998401778889583,-0.07114130434782609,-0.38804687911003083,-0.5614009519832293,-0.4526490191522455,0.5740602773055845,0.0,-0.017241379310344827,-0.040318302387267906,0.66508486984281,-0.25703114090210866,-0.7619414023791362,0.6973197322435739,-0.6290764890003306,-0.3173258003766478,-0.6183705714733547,-0.42374548440065685,-0.06068867275763827,-0.3556998556998557,0.0,0.0,0.0,0.5914394188679518,-0.5485503223278682,-0.5367003226228653,0.0,0.35622059774607795,-0.09937541929678444,-0.6973197322435739,0.0,-0.48869687918127996,0.08088015934871368,-0.11306584310370842,0.0,-0.3098749878514365,-0.7695318615709822,-0.3173258003766478,-0.28095238095238095,-0.3171489856821567,-0.4215618402561234,-0.040318302387267906,-0.6290764890003306,-0.39221762918446706,-0.4025320041539753,-0.18666666666666668,0.3687624754710513,0.6434447772951729
ecadherin,0.2,-0.3883877012659043,-0.2666666666666667,-0.23333333333333334,0.41914552910543834,-0.5153902831063308,-0.2666666666666667,-0.043132189353536673,0.43968743505926156,0.6580797565718909,-0.04618794381313157,0.43968743505926156,0.0,-0.296078431372549,-0.2863157894736842,-0.390387501434985,-0.22272727272727272,-0.3394746577876434,-0.5424967230544213,-0.2992279561154002,-0.32231319405232445,-0.3315448999858136,0.3637365754812564,0.43968743505926156,-0.3862052851950549,0.4333746206281953,-0.576780944499193,0.43788424363263695,0.43968743505926156,0.34225408287692327,-0.26269956458635707,-0.38411125597566276,-0.30491764300598573,-0.4031233805073947,0.6063738842248954,0.425324570672469,0.3681882752821052,-0.4691399904443383,0.38858853054583553,-0.24782608695652172,-0.4149329278641621,-0.34616773798591977,0.43788424363263695,-0.42213208930899604,0.43968743505926156,0.5225043960868871,-0.4283246662491946,-0.3091729323308271,-0.35405885567830875,-0.5653454395724407,-0.499786229587062,0.6765882114702761,0.0,-0.2,-0.20909090909090908,0.41914552910543834,-0.2533333333333333,-0.5069719821909492,0.43968743505926156,-0.36637806637806636,-0.38411125597566276,-0.6197476556045515,-0.38866384697683254,-0.2438316400580552,-0.3394746577876434,0.0,0.0,0.0,0.35752901696376344,-0.49495730290963313,-0.32231917791552167,0.1,0.26100005505092205,-0.25713741279434704,-0.43968743505926156,0.0,-0.4413288777364925,0.2396191646191646,-0.058974826248805144,0.0,-0.3020936639118457,-0.502902599959088,-0.38411125597566276,-0.296078431372549,-0.33395989084733496,-0.46603667920204145,-0.2230769230769231,-0.36637806637806636,-0.2946864411535568,-0.4459225932234256,-0.2,0.4449466483212829,0.582682382020508
