,tbx3,etv5,stat5a,klf4,mitf,tfe3,smad3,ahr,nfic,smad4,fos,foxf1,nr3c1,nr2f1,tfap2a,jun,mafb
tbx3,0.7984743210058737,-0.5402650314685576,-0.5211902393583429,0.7525269899886338,-0.5367361812041529,0.3395839572660124,0.49802382509409127,0.2384229032341758,0.5247584530548947,-0.46016759052157274,-0.26010944062685315,0.7052674597834557,0.49802382509409127,0.6152829830156767,-0.09991817615394787,0.6349204954281216,0.47348787360590483
etv5,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stat5a,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
klf4,0.7285920768112683,-0.5598342565721779,-0.5367361812041529,0.5731705372481994,-0.5416813593621986,0.33725771189701764,0.5100768894863338,0.23469310022558237,0.5412317031796554,-0.4811513393924539,-0.2541774920282508,0.6369435731356873,0.5100768894863338,0.5299920977623487,-0.14183969843433925,0.6525124115166728,0.49802382509409127
mitf,-0.5609251715731284,0.5934024682907736,0.5734172655942928,-0.5994925782702235,0.471818234622182,-0.34724381514473157,-0.42549660014490476,-0.21726655905386302,-0.5728258404233282,0.40270301734364394,0.2557304438975364,-0.5709020012830772,-0.42549660014490476,-0.44725400262074305,0.23282142434043757,-0.5869102571950945,-0.42236566896916977
tfe3,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smad3,0.535492597893297,-0.3654332944463438,-0.36625275134889435,0.47347255077152345,-0.3593378766117882,0.19647269992952968,0.2728468549075478,0.0553112587920063,0.3402353454866681,-0.32502128449482465,-0.07361458342198987,0.4525436474870926,0.34174195045424394,0.29808024414578943,-0.13986058307010235,0.4709538667119749,0.3623620061726798
ahr,0.35113883419773306,-0.29381405117146603,-0.27825536890818775,0.36095206051127793,-0.2697316522539507,0.19931546973437153,0.3019177215287848,0.05203346057652601,0.2715854260489401,-0.29019257175497387,-0.15457273344765798,0.34623730003276243,0.3019177215287848,0.2693741680647701,-0.09868056138244702,0.2889152171903201,0.31655849177280526
nfic,0.5466246716250004,-0.3615029744607468,-0.20799572526188373,0.3714072734186918,-0.2159711481406072,0.23096399191664294,0.40023077679131325,0.18539727852291116,0.34253863445238747,-0.38529309098083503,-0.17827921768844962,0.352675489489608,0.40023077679131325,0.4402100363432564,0.105999306664434,0.3545992316487019,0.41131423037279413
smad4,-0.07772702919452204,0.16872008922839285,0.17494436401558366,-0.0581732961357155,0.13644034550546755,-0.05507311642256294,-0.0627808898737175,-0.12046550815277302,-0.14425249683704353,0.059432749783668234,0.1292617501996407,-0.05396283081729399,-0.0627808898737175,-0.15965705027168167,0.06552178548361784,0.05924921561719086,-0.05892920374193844
fos,-0.3210391147745077,0.25980458520381355,0.14294507547807994,-0.2513756148369263,0.1452436846548027,-0.11681502189599753,-0.2570940215767591,-0.09661212465469908,-0.241680551712468,0.24802099128601665,-0.013644740641374211,-0.24000853154572202,-0.2570940215767591,-0.2605530272699738,-0.07677128482124942,-0.2588021128386444,-0.27687289745936383
foxf1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nr3c1,0.2952703324338345,-0.25907146457812025,-0.01231094165052388,0.2683127588915838,-0.04658889270693408,0.09117472709930316,0.30546527837386983,0.11257163492415578,0.16185716794084257,-0.29252410517421046,-0.13785354329387173,0.25784218570664696,0.20085063506983256,0.317380452674609,0.10200787743995876,0.1387585702222632,0.4181716069523791
nr2f1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
tfap2a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jun,0.547440442821782,-0.46470827710146095,-0.4334010070284555,0.5838550108996167,-0.4348306934671272,0.3313497976052172,0.5218261086229738,0.16726046100118672,0.44392692135946454,-0.4991935383816194,-0.15864076874065994,0.5554879373658268,0.5218261086229738,0.4434276913504284,-0.14955794400612038,0.555651510739394,0.5185053998971328
mafb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9
