,FOXA1,ZEB1,MYC,FOXA2,SOX11,KLF4,KDM5B,TCF4,LEF1,CBFA2T2,ETS2,ATF2,ELF3,CEBPD,TEAD4,NEUROD1,INSM1,REST,NFKB1,PBX1,TCF3,MYB,TCF12,OVOL2,FLI1,MITF,BHLHE40,POU3F2,ASCL1,TCF7L2,SMAD3,PAX5,SOX2
FOXA1,0.09762271510969546,-0.4196677848774197,-2.468143997163639,-1.6292272042657228,0.15931701774495877,-0.14004771288701257,0.0945799254874949,-0.5548615324376223,0.3105541016838394,0.2800590738953124,-51.08417797241264,0.16598464294894044,-2.3663510925552655,0.09568100664459497,-0.3515647190032759,-0.056085485902103695,0.2696573400423455,-0.25316878608913196,-0.25243575060641926,0.25800570917309,0.8070038254239777,-0.542401556068404,0.2766654807874423,0.34604390774362326,1.5327309297859002,0.2534719009813808,0.023109382892200388,0.6020578226748305,0.4365152393832663,-0.5189447065163799,-0.7823722526859329,0.31116830606798046,-0.014840417903416272
ZEB1,-0.15640582348018364,0.20377783663751656,0.28455983421517894,-0.13447827546017832,-0.8823954906535229,-0.08182700721865041,-0.05054999007353338,0.7289353780249573,-2.26174004633077,2.319306688331229,0.21173770008400325,1.4382191522710421,-0.019132719844967012,-0.0414976451085237,-1.6486871810150503,0.2933753726241452,-0.8435879340692924,0.09784560963846309,0.2884736283845428,0.053998008779850275,-0.4001484767463278,-0.07697834340397047,-0.2448611414703919,-0.3706762883099391,0.5948174971637213,0.4877348108865608,2.6741730193064956,-0.4006928087628807,-0.2883331076891004,0.23313852600331678,-0.05167673407031814,-0.6333161531630712,-2.725522483244356
MYC,-3.7586411805798647,0.34068308820607457,0.2263914999780915,0.4639518474429695,0.6023076315244239,0.013728109045839503,-0.4292599433210551,-4.665453860469834,-0.5442154006630259,-0.24857923637335244,-0.08742269037686923,-0.7306777171331333,-0.3273718468519942,-0.03002391691623774,0.12881973950300113,0.4277313189934229,0.916410667164828,-9.243993053017588,0.29142433161254716,-0.1317876085200252,-0.5267891249483884,-1.3601964810344023,0.42005075294999555,-0.4705291058253683,-0.3395134638976965,0.372382322153823,-0.8657739977385541,-0.407046634052645,-0.40602116653074066,1.1797230188065917,-0.1942677567243909,-0.3082551892720911,-0.119369328725134
FOXA2,2.8658038463662088,0.19138490423718496,-0.3890021386150322,0.1392198460658804,0.3340320892865811,-0.18153684466881767,1.2215721988591628,0.29828208094272785,0.9856347071994652,1.988938289396778,-0.9876817707531065,1.186174856715061,-0.009878536977695104,0.8956450595207998,-0.37549585802928825,-0.46820697132994726,0.3785050817248465,-0.016943651384086184,-0.15200511341410794,-0.010486971333348138,0.3283309796304463,0.4806419008695903,0.8710019680110419,0.15210076057413363,0.2329408497561274,-0.06310325726943326,-2.939309853467789,-0.6563293285408425,0.19725516630862447,0.028508468019585183,0.3176010692164922,-1.219553197309169,-0.39310539800443867
SOX11,0.4660907393853752,-0.35432551195712925,-2.4215299530046925,-1.3723366591711061,-4.0417350472093405,-0.44919240186991455,0.20102006222296281,0.02735162675747513,1.1466075982240316,-2.5657182320388716,-3.629893720787759,-0.010931955546634257,-1.0777543748013234,0.6425616907665586,0.3718708850800887,0.7808266528278648,0.08504183681011195,0.382104619393766,-0.06014188587524884,1.629652524614879,5.146133849903479,0.16329592482837502,0.13187771601474582,0.07840362647228334,-0.06488994136376801,-0.8363658889601362,-0.21366743985762898,0.2840748943139958,-0.39234694263171577,1.1645262647006178,3.4297921227943373,0.4441092654377244,-0.441386927095171
KLF4,0.6791024232961564,0.03692747077830371,-0.6096139706297875,0.2121115053197657,0.42008750525129407,-0.311699827949652,0.0342463217785235,-0.25720292006263407,0.5850181736290949,1.8996938406263593,0.13432920334659829,-0.10410867635753161,0.22551450725415073,0.2786670110249795,0.596828708305753,-0.24281558243090265,-0.7273582401424735,0.5958633785434618,-0.2621804362193618,0.3516588442619697,0.04174853107838755,-0.6971695722703285,-0.6320468503326204,0.015350082005184788,0.10851625496693888,0.37138584473139596,-0.1487453081992047,0.5249423506068864,0.026369692359087957,-0.4550757409749741,0.546934368584772,0.05144693844843735,0.2619193443188073
KDM5B,-2.7440426021240008,0.27059755962356274,-0.31807510757321894,0.21712881615104004,-0.6363800105141468,0.0007489060514455253,-0.3577451158380292,-1.1995203489018156,0.6596135067962579,0.2999951733495918,-0.3030628971566187,0.6935365781110587,-0.762594920063979,-1.3569488956814375,-0.9261831709043028,0.09732418615591988,0.25066318481280225,-0.05954734707610628,-0.6317462010876915,0.41188382933480133,0.2644922682531813,-0.36274659695917244,4.0170157394888335,0.045050071259744306,-1.015439652664559,-1.87616500054751,-0.3361450883551792,0.14433176238351325,-0.2683851279793295,0.019002841501238602,-0.13870242661291532,0.2126364543730561,-0.21796598782471716
TCF4,0.9815003179882972,0.7304369637395309,-0.16665146899338365,0.023837883704948357,-0.04870046379666552,0.24443240885866194,-0.337784535280781,-0.12086275934179291,0.5032079204999682,0.3143598222128009,0.2726370179682566,-0.5015063280238137,0.0619610016715243,-0.07762716245168796,-0.38955996607402976,0.015800758087167854,0.9713569396990719,-0.06878055791183797,0.4233627325576684,0.366688850579656,0.5447780135076622,0.34161713561433454,-1.1006432612512322,0.1731618649318717,0.13938807598189698,-0.9269879324328785,2.100608684664117,0.15186361084266672,0.28164092966403687,-0.6571726945643119,-0.04947900409579244,2.4054034921735714,0.5977995730957728
LEF1,-0.17784292109140512,1.677332359306558,-0.09695930310807979,-0.9829254156753597,0.05747826239111191,0.761568140068018,0.33364271334564227,-0.0245613362547662,0.07917139199963459,0.12426023840215628,-0.36050377656095217,0.3079165917972434,-0.26730136994685977,0.0601404073019926,1.0685903099578185,-0.1503708191051382,0.08786749931791221,-0.06282883506477674,-0.3034342726358708,0.9459801706187432,-0.09992469067872066,-0.7563032120619219,0.11769727442696945,0.3188149394797659,0.18179375182682395,-0.2332592475059498,-0.489290095437413,0.44528814660309135,0.7812640650622141,0.6026245327415108,-0.6044466949267112,-0.8518028981066178,4.568068505980084
CBFA2T2,0.2718993790088788,4.399378049142089,-0.5450602310115321,0.024736169096776162,-0.20310557223851716,2.2960484731096815,-0.11566884797888796,-2.419857356308481,1.907386897326129,0.8093126183107896,-0.16289278998079823,0.038075730150261354,26.19617096611625,1.3574383747083463,0.034635464419072656,-1.9994489352447353,-0.12141238346489273,0.21447284761144186,-17.421497412369344,0.08199477076932157,0.054042003335611,0.7447497542659701,0.13667621777721803,0.12668792508239354,-0.2785463633026449,0.04683985892364125,-0.6473192871208356,0.25941492438368585,13.630434722550314,-0.17135254087717885,-0.19399392300610904,0.3038936177253681,0.2109721263408462
