,FOXA1,ZEB1,MYC,FOXA2,SOX11,KLF4,KDM5B,TCF4,LEF1,CBFA2T2,ETS2,ATF2,ELF3,CEBPD,TEAD4,NEUROD1,INSM1,REST,NFKB1,PBX1,TCF3,MYB,TCF12,OVOL2,FLI1,MITF,BHLHE40,POU3F2,ASCL1,TCF7L2,SMAD3,PAX5,SOX2
FOXA1,0.36517971858586795,-0.07341040015612285,-0.3753884756863449,0.3341288962198082,0.3986628538088438,-0.24209288293639725,0.2710544824836537,0.2833047708380215,0.24013065508961481,0.5263806520141687,0.23342221533686733,0.4093373267536845,0.18909947760940363,-0.09536816849000716,-0.41825951812268886,0.03239298432761691,0.2836276944819558,-0.36639209837276054,-0.5262111368906541,0.3485247554895504,0.5158202047111408,0.4633532423304595,0.4307799094158901,0.5233329141194838,0.4007657383210514,-0.4958195762954782,-0.43665509871258096,0.35062808374093846,0.3134181676917501,-0.4498991030299531,-0.3028803847042578,0.4045695353867501,0.0053260095251355475
ZEB1,-0.2641410541392154,0.05774151697790775,0.2913291283078,-0.29411272455995713,-0.3508912822339907,0.2679452957259788,-0.16907148666592386,-0.2694189342743923,-0.2120626783945184,-0.3055272043422626,-0.11843848243891024,-0.2597309319085949,-0.20844836146750262,0.11750880521305736,0.4415645283271844,-0.09270890269567428,-0.26959998392652995,0.42730977301767226,0.46055778543769915,-0.2528660774863043,-0.45828663804081915,-0.3749063048521602,-0.36544843525041565,-0.441605571312635,-0.39729938750590316,0.27018588582832104,0.47362021085235256,-0.2524323177446841,-0.1565020585649753,0.4207432663429989,0.25846522369405767,-0.43871265143240146,-0.019377237649007846
MYC,-0.3667861923261529,0.10065947054314991,0.27088519522969257,-0.19097707737912267,-0.3304395960698746,-0.012753945937446262,-0.11528155665622049,-0.28000152990398874,-0.3144567864779465,-0.42207381241365605,-0.30709233971093164,-0.32741178198965704,-0.2793684533971855,-0.12243004521373853,0.441690037850503,0.026736471416149404,-0.38195574530928755,0.3243323002898265,0.3903832506217381,-0.27575280518137946,-0.3718510941037684,-0.3690390416944118,-0.4166613046863133,-0.42342275827377873,-0.42109268406966616,0.3973603575907357,0.37976147770148494,-0.36502500865897425,-0.25330557359082767,0.3537741478501152,0.10742660167228116,-0.38574231329350434,-0.2454553639294778
FOXA2,0.4760612252529171,-0.12173564067391215,-0.4768291617073678,0.3302828950224414,0.38289633568237813,-0.20210845760401033,0.3701572950409613,0.2774270554290902,0.2633469881735887,0.543219431812973,0.34536037789349805,0.43552324851968083,0.21061744312128994,0.08978352032976956,-0.43283617164526655,-0.09677787439602684,0.3473395840270338,-0.2916414110528901,-0.42422555448828636,0.35165597519036196,0.4072437145257746,0.4685658797670277,0.5349770728310737,0.5400648512962467,0.5190561904866254,-0.5046294293463258,-0.4287886050385282,0.3525650103556665,0.3247119691734365,-0.45305349831986447,-0.36178285716237746,0.5145903394924503,0.21488202632459413
SOX11,0.09807603298951731,-0.007441527144758984,-0.03350457699850195,0.07443451242865129,0.13445981417969605,-0.23926489315397412,0.08616961179394349,0.1752137313265689,-0.009999206002841494,0.10742882407035208,-0.030039400626332056,0.18773649075103896,-0.05988761152505421,-0.07101030223773834,-0.10228615768015055,0.24304848212011806,0.13892092648171406,-0.24694274227803775,-0.2528171034336003,-0.0395773443336123,0.23436337442957736,-0.018831300661379936,0.23279042465294472,0.1213217942690775,0.1301234201699614,-0.16580260642285036,-0.2557942573881463,0.08749822122517525,0.0285144567148037,-0.09389459708720871,-0.17717107884716904,0.2430937933496084,-0.0549882433064958
KLF4,0.13618999719364042,-0.05219029815844699,-0.07302964338332346,0.03844924445248325,-0.05803857300819727,0.09547913706416189,0.030974417878137726,-0.08878282520113981,0.09150804354201228,0.06962806994692297,0.11104526282692313,-0.031099181712527662,0.18161132476633982,0.12168627360917961,-0.08861799139164159,-0.21586382964012332,0.10067436846115392,0.1704550054594956,0.010691148802663055,0.17079923260825097,-0.12156622184483996,0.13137566757734748,0.0029836582970221236,0.07207779183455383,0.011628662344916657,-0.05965545893626754,0.09853946675818191,0.12709789314515427,0.19550447243712793,-0.038213866908021726,0.079097216323935,-0.012259086028820287,0.19598867985129492
KDM5B,0.30294441021271956,0.09758611838817496,-0.1797489419000889,0.25232792814946586,0.14116842695082568,-0.19284930406246745,0.20081264847632405,0.06746204988591939,0.10301309162232282,0.3748352537902014,-0.01082957906475244,0.30711488393969255,-0.026814368437533535,-0.10350440026447208,-0.20786030878139128,-0.030722405973027205,0.11505785141082811,-0.12348323932990897,-0.3088176190755973,0.14440828438762499,0.21716701872615657,0.18657852078650064,0.3347166576834682,0.24429052599208906,0.20494968917486536,-0.20407871206274497,-0.23568930311470462,0.19868003050576455,0.21952145105341256,-0.19718751473715782,-0.150374373270365,0.30866848318622486,0.0406088780144988
TCF4,0.45835349351195476,-0.012272349014531142,-0.4335487452263136,0.27691141950238224,0.4269976646552601,-0.17192585960711798,0.23115762477754104,0.27521198409388475,0.36849223427093697,0.509446555881508,0.35542201371985566,0.3077184993620072,0.1085650902267408,0.03018471148464481,-0.3785233121401976,0.10211461658403995,0.32924799279593653,-0.4016796676034965,-0.4872113731438394,0.3358860620782721,0.46211301787498726,0.42239550812993326,0.5110088642276324,0.38610020642445647,0.4931410538822435,-0.4887092182076902,-0.4064775517896947,0.33406699359075265,0.31304668148792875,-0.46356714063845905,-0.3732793742722201,0.47997390353981356,0.23196564189125848
LEF1,0.3585807474495611,-0.014232441203616702,-0.23557860402963401,0.21753185628670463,0.2001711130736851,-0.04870469065277733,0.3320243640489731,0.10001967464216621,0.17467682262939038,0.3038529645845528,0.17962660648370646,0.23839392074009508,0.14058430999578078,0.1080475392413065,-0.41126287369240916,-0.16806942900729285,0.29811337855406145,-0.15034646698241205,-0.2836841624240233,0.26336211212812455,0.29693273138931053,0.3123216569083022,0.28694490247584115,0.3247020215871251,0.35429122708267197,-0.36727395911382266,-0.3615253249963303,0.35551119508083523,0.35097042275070195,-0.260011736930649,-0.2723199741750381,0.23407859290765046,0.21231003296649126
CBFA2T2,0.32287875158325646,-0.16414903734622868,-0.32194597407901626,0.292434156777214,0.2022734725059808,-0.07247720478242167,0.23021308000221258,0.20865892629938587,0.30217257509548656,0.47824580864729904,0.3568017595415675,0.2929952793520832,0.22724081905549592,0.08457344586691413,-0.36226453585502016,-0.1371279081627361,0.28370651706696154,-0.178730565427194,-0.3468143050848732,0.31992965671656437,0.2573718561197244,0.26593001520806286,0.3605819462846,0.48189629395753714,0.4512058535063387,-0.44451510855633974,-0.3396315311889393,0.28886042017836716,0.29545419682661905,-0.3227957352576263,-0.21847799976496587,0.33513292673564676,0.3170353845859181
