steady_state,frequency
"[-1. -1. -1.  1.  1. -1. -1.  1. -1.  1.  1.  1.  1.  1. -1.  1. -1.  1.
 -1. -1. -1. -1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[-1. -1. -1.  1.  1. -1. -1.  1. -1.  1.  1.  1. -1.  1. -1.  1. -1. -1.
 -1. -1. -1. -1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[ 1.  1.  1. -1. -1.  1.  1. -1.  1. -1. -1. -1. -1. -1.  1. -1.  1.  1.
  1.  1.  1.  1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[ 1.  1.  1. -1. -1.  1.  1. -1.  1. -1. -1. -1. -1. -1.  1. -1.  1. -1.
  1.  1.  1.  1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[-1. -1. -1.  1.  1. -1. -1.  1. -1.  1.  1.  1. -1. -1. -1.  1. -1. -1.
 -1. -1. -1. -1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[ 1.  1.  1. -1. -1.  1.  1. -1.  1. -1. -1. -1.  1. -1.  1. -1.  1. -1.
  1.  1.  1.  1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[-1. -1. -1.  1.  1. -1. -1.  1. -1.  1.  1.  1. -1. -1. -1.  1. -1.  1.
 -1. -1. -1. -1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[-1. -1. -1.  1.  1. -1. -1.  1. -1.  1.  1.  1. -1.  1. -1.  1. -1.  1.
 -1. -1. -1. -1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[-1. -1. -1.  1.  1. -1. -1.  1. -1.  1.  1.  1.  1. -1. -1.  1. -1. -1.
 -1. -1. -1. -1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[ 1.  1.  1. -1. -1.  1.  1. -1.  1. -1. -1. -1. -1.  1.  1. -1.  1.  1.
  1.  1.  1.  1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[ 1.  1.  1. -1. -1.  1.  1. -1.  1. -1. -1. -1. -1.  1.  1. -1.  1. -1.
  1.  1.  1.  1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[ 1.  1.  1. -1. -1.  1.  1. -1.  1. -1. -1. -1.  1. -1.  1. -1.  1.  1.
  1.  1.  1.  1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[-1.  1. -1.  1.  1.  1. -1. -1.  1. -1. -1. -1. -1.  1. -1.  1. -1. -1.
 -1. -1. -1.  1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[-1. -1. -1.  1.  1. -1. -1.  1. -1.  1.  1.  1.  1. -1. -1.  1. -1.  1.
 -1. -1. -1. -1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[-1.  1. -1.  1.  1.  1. -1. -1.  1. -1. -1. -1. -1.  1. -1. -1. -1. -1.
 -1. -1. -1.  1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[-1.  1. -1.  1.  1.  1. -1. -1.  1. -1. -1. -1. -1.  1. -1.  1. -1.  1.
 -1. -1. -1.  1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[-1. -1. -1.  1.  1. -1. -1.  1. -1.  1.  1.  1.  1.  1. -1.  1. -1. -1.
 -1. -1. -1. -1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[ 1.  1.  1. -1. -1.  1.  1. -1.  1. -1. -1. -1.  1.  1.  1. -1.  1.  1.
  1.  1.  1.  1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[ 1.  1.  1. -1. -1.  1.  1. -1.  1. -1. -1. -1.  1.  1.  1. -1.  1. -1.
  1.  1.  1.  1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[-1.  1. -1.  1.  1.  1. -1. -1.  1. -1. -1. -1. -1. -1. -1.  1. -1. -1.
 -1. -1. -1.  1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[ 1. -1.  1. -1. -1. -1.  1.  1. -1.  1.  1.  1.  1. -1.  1.  1.  1.  1.
  1.  1.  1. -1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[ 1. -1.  1. -1. -1. -1.  1.  1. -1.  1.  1.  1.  1.  1.  1. -1.  1.  1.
  1.  1.  1. -1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[ 1. -1.  1. -1. -1. -1.  1.  1. -1.  1.  1.  1.  1. -1.  1. -1.  1. -1.
  1.  1.  1. -1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[ 1. -1.  1. -1. -1. -1.  1.  1. -1.  1.  1.  1.  1.  1.  1. -1.  1. -1.
  1.  1.  1. -1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[-1. -1. -1.  1.  1.  1. -1.  1.  1. -1.  1. -1. -1. -1. -1.  1. -1. -1.
 -1. -1. -1.  1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[ 1. -1.  1. -1. -1. -1.  1.  1. -1.  1.  1.  1.  1. -1.  1. -1.  1.  1.
  1.  1.  1. -1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[-1.  1. -1.  1.  1.  1. -1. -1.  1. -1. -1. -1. -1. -1. -1.  1. -1.  1.
 -1. -1. -1.  1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[-1.  1. -1.  1.  1. -1. -1. -1.  1. -1.  1. -1. -1.  1. -1. -1. -1.  1.
 -1. -1. -1.  1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[ 1. -1.  1. -1. -1. -1.  1.  1. -1.  1.  1.  1.  1. -1.  1.  1.  1. -1.
  1.  1.  1. -1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[ 1. -1.  1. -1. -1. -1.  1.  1. -1.  1.  1.  1. -1. -1.  1.  1.  1.  1.
  1.  1.  1. -1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
"[ 1. -1.  1. -1. -1.  1.  1.  1. -1.  1. -1.  1.  1. -1.  1.  1.  1. -1.
  1.  1.  1. -1.]","[93, 57, 66, 72, 45, 68, 48, 59, 47, 60, 63, 62, 6, 47, 8, 4, 80, 34, 48, 2, 4, 5, 2, 2, 3, 6, 2, 1, 2, 2, 2]"
