steady_state,frequency
[-1. -1.  1.  1.  1. -1. -1.  1.  1.  1. -1.  1.  1. -1.  1. -1. -1. -1.],"[259, 10, 230, 3, 6, 133, 134, 6, 6, 3, 8, 17, 8, 4, 3, 14, 2, 6, 4, 10, 7, 3, 6, 3, 5, 11, 12, 1, 1, 7, 11, 2, 5, 4, 2, 3, 3, 4, 3, 5, 2, 6, 4, 3, 4, 4, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
[-1. -1.  1. -1. -1. -1.  1. -1. -1. -1.  1. -1. -1.  1. -1. -1.  1.  1.],"[259, 10, 230, 3, 6, 133, 134, 6, 6, 3, 8, 17, 8, 4, 3, 14, 2, 6, 4, 10, 7, 3, 6, 3, 5, 11, 12, 1, 1, 7, 11, 2, 5, 4, 2, 3, 3, 4, 3, 5, 2, 6, 4, 3, 4, 4, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
[ 1.  1. -1. -1. -1.  1.  1. -1. -1. -1.  1. -1. -1.  1. -1.  1.  1.  1.],"[259, 10, 230, 3, 6, 133, 134, 6, 6, 3, 8, 17, 8, 4, 3, 14, 2, 6, 4, 10, 7, 3, 6, 3, 5, 11, 12, 1, 1, 7, 11, 2, 5, 4, 2, 3, 3, 4, 3, 5, 2, 6, 4, 3, 4, 4, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
[-1. -1.  1.  1. -1. -1.  1. -1. -1. -1.  1. -1. -1.  1. -1.  1.  1.  1.],"[259, 10, 230, 3, 6, 133, 134, 6, 6, 3, 8, 17, 8, 4, 3, 14, 2, 6, 4, 10, 7, 3, 6, 3, 5, 11, 12, 1, 1, 7, 11, 2, 5, 4, 2, 3, 3, 4, 3, 5, 2, 6, 4, 3, 4, 4, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
[-1. -1.  1. -1.  1.  1.  1. -1. -1. -1.  1. -1. -1.  1. -1.  1.  1.  1.],"[259, 10, 230, 3, 6, 133, 134, 6, 6, 3, 8, 17, 8, 4, 3, 14, 2, 6, 4, 10, 7, 3, 6, 3, 5, 11, 12, 1, 1, 7, 11, 2, 5, 4, 2, 3, 3, 4, 3, 5, 2, 6, 4, 3, 4, 4, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
[ 1. -1.  1.  1.  1. -1. -1.  1.  1.  1. -1.  1.  1. -1.  1. -1. -1. -1.],"[259, 10, 230, 3, 6, 133, 134, 6, 6, 3, 8, 17, 8, 4, 3, 14, 2, 6, 4, 10, 7, 3, 6, 3, 5, 11, 12, 1, 1, 7, 11, 2, 5, 4, 2, 3, 3, 4, 3, 5, 2, 6, 4, 3, 4, 4, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
[-1.  1. -1. -1. -1.  1.  1. -1. -1. -1.  1. -1. -1.  1. -1.  1.  1.  1.],"[259, 10, 230, 3, 6, 133, 134, 6, 6, 3, 8, 17, 8, 4, 3, 14, 2, 6, 4, 10, 7, 3, 6, 3, 5, 11, 12, 1, 1, 7, 11, 2, 5, 4, 2, 3, 3, 4, 3, 5, 2, 6, 4, 3, 4, 4, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
[-1. -1.  1. -1. -1. -1.  1. -1. -1. -1.  1. -1. -1.  1. -1.  1.  1.  1.],"[259, 10, 230, 3, 6, 133, 134, 6, 6, 3, 8, 17, 8, 4, 3, 14, 2, 6, 4, 10, 7, 3, 6, 3, 5, 11, 12, 1, 1, 7, 11, 2, 5, 4, 2, 3, 3, 4, 3, 5, 2, 6, 4, 3, 4, 4, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
[ 1.  1.  1. -1.  1. -1. -1.  1.  1.  1. -1.  1.  1.  1.  1. -1. -1. -1.],"[259, 10, 230, 3, 6, 133, 134, 6, 6, 3, 8, 17, 8, 4, 3, 14, 2, 6, 4, 10, 7, 3, 6, 3, 5, 11, 12, 1, 1, 7, 11, 2, 5, 4, 2, 3, 3, 4, 3, 5, 2, 6, 4, 3, 4, 4, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
[-1. -1. -1.  1.  1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1.  1.  1.  1.],"[259, 10, 230, 3, 6, 133, 134, 6, 6, 3, 8, 17, 8, 4, 3, 14, 2, 6, 4, 10, 7, 3, 6, 3, 5, 11, 12, 1, 1, 7, 11, 2, 5, 4, 2, 3, 3, 4, 3, 5, 2, 6, 4, 3, 4, 4, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
[-1.  1. -1. -1.  1. -1. -1.  1.  1.  1. -1.  1.  1.  1.  1. -1. -1. -1.],"[259, 10, 230, 3, 6, 133, 134, 6, 6, 3, 8, 17, 8, 4, 3, 14, 2, 6, 4, 10, 7, 3, 6, 3, 5, 11, 12, 1, 1, 7, 11, 2, 5, 4, 2, 3, 3, 4, 3, 5, 2, 6, 4, 3, 4, 4, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
[-1. -1.  1. -1. -1.  1.  1. -1. -1. -1.  1. -1. -1.  1. -1.  1.  1.  1.],"[259, 10, 230, 3, 6, 133, 134, 6, 6, 3, 8, 17, 8, 4, 3, 14, 2, 6, 4, 10, 7, 3, 6, 3, 5, 11, 12, 1, 1, 7, 11, 2, 5, 4, 2, 3, 3, 4, 3, 5, 2, 6, 4, 3, 4, 4, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
[-1. -1. -1.  1. -1.  1.  1. -1. -1. -1.  1. -1. -1. -1. -1.  1.  1.  1.],"[259, 10, 230, 3, 6, 133, 134, 6, 6, 3, 8, 17, 8, 4, 3, 14, 2, 6, 4, 10, 7, 3, 6, 3, 5, 11, 12, 1, 1, 7, 11, 2, 5, 4, 2, 3, 3, 4, 3, 5, 2, 6, 4, 3, 4, 4, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
[ 1.  1. -1.  1. -1. -1. -1.  1.  1.  1. -1.  1.  1. -1.  1. -1. -1. -1.],"[259, 10, 230, 3, 6, 133, 134, 6, 6, 3, 8, 17, 8, 4, 3, 14, 2, 6, 4, 10, 7, 3, 6, 3, 5, 11, 12, 1, 1, 7, 11, 2, 5, 4, 2, 3, 3, 4, 3, 5, 2, 6, 4, 3, 4, 4, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
[ 1.  1. -1. -1.  1. -1. -1.  1.  1.  1. -1.  1.  1. -1.  1. -1. -1. -1.],"[259, 10, 230, 3, 6, 133, 134, 6, 6, 3, 8, 17, 8, 4, 3, 14, 2, 6, 4, 10, 7, 3, 6, 3, 5, 11, 12, 1, 1, 7, 11, 2, 5, 4, 2, 3, 3, 4, 3, 5, 2, 6, 4, 3, 4, 4, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
[ 1.  1. -1.  1.  1. -1. -1.  1.  1.  1. -1.  1.  1. -1.  1. -1. -1. -1.],"[259, 10, 230, 3, 6, 133, 134, 6, 6, 3, 8, 17, 8, 4, 3, 14, 2, 6, 4, 10, 7, 3, 6, 3, 5, 11, 12, 1, 1, 7, 11, 2, 5, 4, 2, 3, 3, 4, 3, 5, 2, 6, 4, 3, 4, 4, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
[-1. -1. -1.  1. -1. -1.  1. -1. -1. -1.  1. -1. -1. -1. -1. -1.  1.  1.],"[259, 10, 230, 3, 6, 133, 134, 6, 6, 3, 8, 17, 8, 4, 3, 14, 2, 6, 4, 10, 7, 3, 6, 3, 5, 11, 12, 1, 1, 7, 11, 2, 5, 4, 2, 3, 3, 4, 3, 5, 2, 6, 4, 3, 4, 4, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
[-1. -1. -1.  1.  1. -1.  1. -1. -1. -1.  1. -1. -1. -1. -1. -1.  1.  1.],"[259, 10, 230, 3, 6, 133, 134, 6, 6, 3, 8, 17, 8, 4, 3, 14, 2, 6, 4, 10, 7, 3, 6, 3, 5, 11, 12, 1, 1, 7, 11, 2, 5, 4, 2, 3, 3, 4, 3, 5, 2, 6, 4, 3, 4, 4, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
[ 1.  1. -1. -1.  1.  1. -1.  1.  1.  1. -1.  1.  1.  1.  1. -1. -1. -1.],"[259, 10, 230, 3, 6, 133, 134, 6, 6, 3, 8, 17, 8, 4, 3, 14, 2, 6, 4, 10, 7, 3, 6, 3, 5, 11, 12, 1, 1, 7, 11, 2, 5, 4, 2, 3, 3, 4, 3, 5, 2, 6, 4, 3, 4, 4, 2, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1]"
