steady_state,frequency
[-1. -1.  1. -1. -1. -1. -1.  1.  1. -1. -1. -1.  1. -1. -1.  1.  1.],"[63, 50, 72, 45, 46, 65, 50, 65, 67, 52, 54, 54, 56, 54, 56, 55]"
[ 1.  1. -1.  1.  1.  1.  1. -1. -1. -1.  1.  1. -1.  1.  1. -1.  1.],"[63, 50, 72, 45, 46, 65, 50, 65, 67, 52, 54, 54, 56, 54, 56, 55]"
[-1. -1.  1. -1. -1. -1. -1.  1.  1.  1. -1. -1.  1. -1. -1.  1.  1.],"[63, 50, 72, 45, 46, 65, 50, 65, 67, 52, 54, 54, 56, 54, 56, 55]"
[-1. -1.  1. -1. -1. -1. -1.  1.  1. -1. -1. -1.  1. -1. -1.  1. -1.],"[63, 50, 72, 45, 46, 65, 50, 65, 67, 52, 54, 54, 56, 54, 56, 55]"
[-1. -1.  1. -1. -1. -1. -1.  1.  1. -1. -1. -1. -1. -1. -1.  1.  1.],"[63, 50, 72, 45, 46, 65, 50, 65, 67, 52, 54, 54, 56, 54, 56, 55]"
[ 1.  1. -1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1.  1.  1. -1. -1.],"[63, 50, 72, 45, 46, 65, 50, 65, 67, 52, 54, 54, 56, 54, 56, 55]"
[ 1.  1. -1.  1.  1.  1.  1. -1. -1.  1.  1.  1. -1.  1.  1. -1.  1.],"[63, 50, 72, 45, 46, 65, 50, 65, 67, 52, 54, 54, 56, 54, 56, 55]"
[ 1.  1. -1.  1.  1.  1.  1. -1. -1.  1.  1.  1. -1.  1.  1. -1. -1.],"[63, 50, 72, 45, 46, 65, 50, 65, 67, 52, 54, 54, 56, 54, 56, 55]"
[ 1.  1. -1.  1.  1.  1.  1. -1. -1. -1.  1.  1. -1.  1.  1. -1. -1.],"[63, 50, 72, 45, 46, 65, 50, 65, 67, 52, 54, 54, 56, 54, 56, 55]"
[-1. -1.  1. -1. -1. -1. -1.  1.  1. -1. -1. -1. -1. -1. -1.  1. -1.],"[63, 50, 72, 45, 46, 65, 50, 65, 67, 52, 54, 54, 56, 54, 56, 55]"
[-1. -1.  1. -1. -1. -1. -1.  1.  1.  1. -1. -1. -1. -1. -1.  1.  1.],"[63, 50, 72, 45, 46, 65, 50, 65, 67, 52, 54, 54, 56, 54, 56, 55]"
[ 1.  1. -1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1.  1.  1. -1.  1.],"[63, 50, 72, 45, 46, 65, 50, 65, 67, 52, 54, 54, 56, 54, 56, 55]"
[-1. -1.  1. -1. -1. -1. -1.  1.  1.  1. -1. -1. -1. -1. -1.  1. -1.],"[63, 50, 72, 45, 46, 65, 50, 65, 67, 52, 54, 54, 56, 54, 56, 55]"
[-1. -1.  1. -1. -1. -1. -1.  1.  1.  1. -1. -1.  1. -1. -1.  1. -1.],"[63, 50, 72, 45, 46, 65, 50, 65, 67, 52, 54, 54, 56, 54, 56, 55]"
[ 1.  1. -1.  1.  1.  1.  1. -1. -1. -1.  1.  1.  1.  1.  1. -1.  1.],"[63, 50, 72, 45, 46, 65, 50, 65, 67, 52, 54, 54, 56, 54, 56, 55]"
[ 1.  1. -1.  1.  1.  1.  1. -1. -1. -1.  1.  1.  1.  1.  1. -1. -1.],"[63, 50, 72, 45, 46, 65, 50, 65, 67, 52, 54, 54, 56, 54, 56, 55]"
